"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/IO/MsgOut.h","call function: 182:9-182:12","call in function: Start@180-188","callee=std::basic_ofstream::open","basic block: 182:4-184:8"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 188:13-188:30","call in function: getTile@172-214","callee=sqlite3","basic block: 183:9-188:74"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 190:72-190:85","call in function: getTile@172-214","callee=sqlite3","basic block: 189:9-191:27"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 194:9-194:24","call in function: getTile@172-214","callee=sqlite3","basic block: 194:9-199:32"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 195:9-195:24","call in function: getTile@172-214","callee=sqlite3","basic block: 194:9-199:32"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 196:9-196:24","call in function: getTile@172-214","callee=sqlite3","basic block: 194:9-199:32"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 198:22-198:33","call in function: getTile@172-214","callee=sqlite3","basic block: 194:9-199:32"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 201:32-201:50","call in function: getTile@172-214","callee=sqlite3","basic block: 200:9-207:34"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 202:24-202:43","call in function: getTile@172-214","callee=sqlite3","basic block: 200:9-207:34"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 212:9-212:24","call in function: getTile@172-214","callee=sqlite3","basic block: 212:9-213:23"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 139:13-139:27","call in function: open@137-158","callee=sqlite3","basic block: 138:5-139:94"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 139:13-139:27","call in function: open@137-158","callee=sqlite3_open_v2","basic block: 138:5-139:94"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 139:13-139:27","call in function: open@137-158","callee=sqlite3_open","basic block: 138:5-139:94"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 153:17-153:29","call in function: open@137-158","callee=sqlite3","basic block: 152:13-154:28"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 134:13-134:25","call in function: ~MBTilesSupport@131-135","callee=sqlite3","basic block: 134:13-134:25"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 87:13-87:30","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 83:5-87:78"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 92:16-92:27","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 92:29-92:47"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 94:35-94:52","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 93:9-94:33"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 96:9-96:24","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 96:9-98:29"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 107:13-107:30","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 103:9-107:74"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 112:16-112:27","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 112:29-112:47"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 114:62-114:80","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 113:9-117:21"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 115:64-115:82","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 113:9-117:21"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 125:9-125:24","call in function: loadMetadata@82-126","callee=sqlite3","basic block: 125:9-126:5"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 502:36-502:70","call in function: getTile@478-520","callee=std::basic_ifstream::basic_ifstream","basic block: 501:13-503:35"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 336:20-336:26","call in function: listDirectory@315-351","callee=open","basic block: 316:5-337:15"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 336:20-336:26","call in function: listDirectory@315-351","callee=opendir","basic block: 316:5-337:15"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 340:29-340:35","call in function: listDirectory@315-351","callee=read","basic block: 340:37-340:52"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 340:29-340:35","call in function: listDirectory@315-351","callee=readdir","basic block: 340:37-340:52"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 347:13-347:20","call in function: listDirectory@315-351","callee=close","basic block: 347:13-347:20"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 347:13-347:20","call in function: listDirectory@315-351","callee=closedir","basic block: 347:13-347:20"
"Path: /home/sixsquare/codeQL/projects/AIS-catcher/Application/MapTiles.h","call function: 291:13-291:16","call in function: isDirectory@284-295","callee=stat","basic block: 285:5-291:45"
