"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 634:7-634:13","call in function: CATCH2_INTERNAL_TEST_15@595-652","callee=asio::connect","basic block: 607:5-647:25"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 575:7-575:13","call in function: CATCH2_INTERNAL_TEST_13@536-593","callee=asio::connect","basic block: 548:5-588:25"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 497:7-497:13","call in function: CATCH2_INTERNAL_TEST_11@457-534","callee=asio::connect","basic block: 468:5-510:25"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 438:7-438:13","call in function: CATCH2_INTERNAL_TEST_9@395-455","callee=asio::connect","basic block: 405:5-451:26"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 253:7-253:13","call in function: CATCH2_INTERNAL_TEST_2@200-393","callee=asio::connect","basic block: 250:5-256:20"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unit_tests/test_websocket.cpp","call function: 63:7-63:13","call in function: CATCH2_INTERNAL_TEST_0@17-198","callee=asio::connect","basic block: 28:5-76:25"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 2777:11-2777:17","call in function: operator()@2775-2800","callee=asio::connect","basic block: 2775:52-2797:9"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 2697:11-2697:17","call in function: operator()@2695-2703","callee=asio::connect","basic block: 2695:52-2695:28"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 2577:15-2577:21","call in function: operator()@2558-2619","callee=asio::connect","basic block: 2558:56-2586:52"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 2596:15-2596:21","call in function: operator()@2558-2619","callee=asio::connect","basic block: 2592:13-2606:52"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 1372:11-1372:17","call in function: operator()@1370-1378","callee=asio::connect","basic block: 1370:52-1370:28"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 741:16-741:22","call in function: operator()@739-763","callee=asio::connect","basic block: 739:82-739:43"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 2738:11-2738:17","call in function: CATCH2_INTERNAL_TEST_80@2721-2746","callee=asio::connect","basic block: 2722:1-2743:38"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 1414:16-1414:22","call in function: CATCH2_INTERNAL_TEST_48@1310-1426","callee=asio::connect","basic block: 1412:5-1419:55"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 647:11-647:17","call in function: CATCH2_INTERNAL_TEST_22@635-651","callee=asio::connect","basic block: 636:1-635:43"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 42:11-42:17","call in function: HttpClient@39-44","callee=asio::connect","basic block: 41:5-39:14"
"Path: /home/sixsquare/codeQL/projects/Crow/tests/unittest.cpp","call function: 1974:15-1974:21","call in function: operator()@1961-2011","callee=asio::connect","basic block: 1961:78-1989:121"
