"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Drums/synthsnaredrum.cpp","call function: 156:19-156:22","call in function: Process@42-164","callee=rand","basic block: 148:5-42:33"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Drums/analogsnaredrum.cpp","call function: 186:26-186:29","call in function: Process@78-198","callee=rand","basic block: 183:5-187:19"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Drums/synthbassdrum.cpp","call function: 124:28-124:31","call in function: Process@95-183","callee=rand","basic block: 122:5-128:15"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Drums/synthbassdrum.cpp","call function: 35:20-35:23","call in function: Process@33-39","callee=rand","basic block: 34:1-33:43"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Noise/particle.cpp","call function: 29:15-29:18","call in function: Process@27-53","callee=rand","basic block: 28:1-32:20"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Noise/particle.cpp","call function: 41:36-41:39","call in function: Process@27-53","callee=rand","basic block: 39:13-46:26"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Noise/clockednoise.cpp","call function: 25:30-25:33","call in function: Process@17-47","callee=rand","basic block: 18:1-31:21"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/PhysicalModeling/drip.cpp","call function: 27:19-27:22","call in function: noise_tick@24-29","callee=rand","basic block: 25:1-24:22"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/PhysicalModeling/drip.cpp","call function: 21:13-21:16","call in function: my_random@19-22","callee=rand","basic block: 20:1-19:19"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/PhysicalModeling/KarplusString.cpp","call function: 146:27-146:30","call in function: ProcessInternal@80-197","callee=rand","basic block: 145:9-148:60"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/Noise/dust.h","call function: 42:29-42:32","call in function: Process@39-48","callee=rand","basic block: 40:5-43:23"
"Path: /home/sixsquare/codeQL/projects/DaisySP/Source/PhysicalModeling/stringvoice.cpp","call function: 110:23-110:26","call in function: Process@77-124","callee=rand","basic block: 109:5-112:72"
