"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 1205:7-1205:10","call in function: dirExists@1202-1211","callee=stat","basic block: 1202:33-1205:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 592:3-592:10","call in function: testPhongTran@584-622","callee=remove","basic block: 591:3-615:3"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 593:16-593:57","call in function: testPhongTran@584-622","callee=std::basic_ofstream::basic_ofstream","basic block: 591:3-615:3"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 597:15-597:45","call in function: testPhongTran@584-622","callee=std::basic_ifstream::basic_ifstream","basic block: 591:3-615:3"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 618:5-618:12","call in function: testPhongTran@584-622","callee=remove","basic block: 618:5-618:12"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 1152:14-1152:24","call in function: readFile@1149-1161","callee=std::basic_ifstream::basic_ifstream","basic block: 1149:62-1149:43"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 1153:17-1153:20","call in function: readFile@1149-1161","callee=std::basic_ifstream::open","basic block: 1149:62-1149:43"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 1386:19-1386:50","call in function: dataindexingtest@1378-1450","callee=std::basic_ifstream::basic_ifstream","basic block: 1378:64-1387:7"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 726:3-726:10","call in function: testEWAHBoolArray@691-768","callee=remove","basic block: 725:3-734:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 727:16-727:57","call in function: testEWAHBoolArray@691-768","callee=std::basic_ofstream::basic_ofstream","basic block: 725:3-734:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 731:15-731:45","call in function: testEWAHBoolArray@691-768","callee=std::basic_ifstream::basic_ifstream","basic block: 725:3-734:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 764:5-764:12","call in function: testEWAHBoolArray@691-768","callee=remove","basic block: 764:5-764:12"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 655:3-655:10","call in function: testPhongTran2@645-689","callee=remove","basic block: 654:3-663:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 656:16-656:57","call in function: testPhongTran2@645-689","callee=std::basic_ofstream::basic_ofstream","basic block: 654:3-663:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 660:15-660:45","call in function: testPhongTran2@645-689","callee=std::basic_ifstream::basic_ifstream","basic block: 654:3-663:28"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 685:5-685:12","call in function: testPhongTran2@645-689","callee=remove","basic block: 685:5-685:12"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 513:3-513:10","call in function: testJoergBukowski@495-581","callee=remove","basic block: 495:49-515:61"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 545:18-545:59","call in function: testJoergBukowski@495-581","callee=std::basic_ofstream::basic_ofstream","basic block: 543:35-554:69"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 549:17-549:47","call in function: testJoergBukowski@495-581","callee=std::basic_ifstream::basic_ifstream","basic block: 543:35-554:69"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/tests/unit.cpp","call function: 577:5-577:12","call in function: testJoergBukowski@495-581","callee=remove","basic block: 577:5-577:12"
"Path: /home/sixsquare/codeQL/projects/EWAHBoolArray/examples/example3.cpp","call function: 30:19-30:34","call in function: main@26-79","callee=std::basic_ifstream::basic_ifstream","basic block: 26:12-51:3"
