"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/knn_error_test.cpp","call function: 92:33-92:71","call in function: main@60-156","callee=std::system","basic block: 89:13-0:0"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/knn_error_test.cpp","call function: 112:34-112:72","call in function: main@60-156","callee=std::system","basic block: 108:17-118:40"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/knn_error_test.cpp","call function: 110:25-110:63","call in function: main@60-156","callee=std::system","basic block: 108:17-118:40"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/knn_error_test.cpp","call function: 116:25-116:63","call in function: main@60-156","callee=std::system","basic block: 108:17-118:40"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/error_test.cpp","call function: 73:33-73:71","call in function: main@42-116","callee=std::system","basic block: 69:13-0:0"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/error_test.cpp","call function: 87:34-87:72","call in function: main@42-116","callee=std::system","basic block: 81:17-93:30"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/error_test.cpp","call function: 83:25-83:63","call in function: main@42-116","callee=std::system","basic block: 81:17-93:30"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/error_test.cpp","call function: 91:25-91:63","call in function: main@42-116","callee=std::system","basic block: 81:17-93:30"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/construction_time.cpp","call function: 41:18-41:56","call in function: main@31-47","callee=std::system","basic block: 31:12-31:8"
"Path: /home/sixsquare/codeQL/projects/KDTree/tests/construction_time.cpp","call function: 43:17-43:55","call in function: main@31-47","callee=std::system","basic block: 31:12-31:8"
