"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2130:35-2130:39","call in function: Close@2130-2130","callee=close","basic block: 2130:26-2130:16"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2128:27-2128:31","call in function: Write@2127-2129","callee=write","basic block: 2127:63-2127:16"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2125:27-2125:30","call in function: Read@2124-2126","callee=read","basic block: 2124:56-2124:15"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2118:10-2118:16","call in function: FReopen@2117-2119","callee=freopen","basic block: 2117:72-2117:20"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2113:10-2113:14","call in function: FOpen@2105-2115","callee=fopen","basic block: 2105:56-2105:18"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2103:44-2103:48","call in function: ChDir@2103-2103","callee=chdir","basic block: 2103:35-2103:16"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2042:44-2042:48","call in function: RmDir@2042-2042","callee=rmdir","basic block: 2042:35-2042:16"
"Path: /home/sixsquare/codeQL/projects/Kiwi/third_party/googletest/googletest/include/gtest/internal/gtest-port.h","call function: 2037:61-2037:64","call in function: Stat@2037-2037","callee=stat","basic block: 2037:52-2037:15"
"Path: /home/sixsquare/codeQL/projects/Kiwi/test/test_combiner.cpp","call function: 13:21-13:54","call in function: getCompiledRule@7-18","callee=std::basic_ifstream::basic_ifstream","basic block: 11:2-16:2"
"Path: /home/sixsquare/codeQL/projects/Kiwi/test/test_sw_tokenizer.cpp","call function: 355:20-355:65","call in function: TestBody@352-368","callee=std::basic_ifstream::basic_ifstream","basic block: 353:1-361:46"
"Path: /home/sixsquare/codeQL/projects/Kiwi/test/test_sw_tokenizer.cpp","call function: 336:21-336:66","call in function: TestBody@331-350","callee=std::basic_ifstream::basic_ifstream","basic block: 332:1-340:43"
"Path: /home/sixsquare/codeQL/projects/Kiwi/test/test_sw_tokenizer.cpp","call function: 344:21-344:60","call in function: TestBody@331-350","callee=std::basic_ifstream::basic_ifstream","basic block: 340:44-348:52"
"Path: /home/sixsquare/codeQL/projects/Kiwi/test/test_sw_tokenizer.cpp","call function: 315:21-315:52","call in function: TestBody@310-329","callee=std::basic_ifstream::basic_ifstream","basic block: 311:1-319:53"
