"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/dhm.c","call function: 585:14-585:18","call in function: load_file@580-622","callee=fopen","basic block: 581:1-585:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/pkparse.c","call function: 1303:14-1303:18","call in function: mbedtls_pk_load_file@1298-1342","callee=fopen","basic block: 1299:1-1303:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1599:16-1599:22","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=open","basic block: 1526:1-1601:19"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1599:16-1599:22","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=opendir","basic block: 1526:1-1601:19"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1614:21-1614:27","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=read","basic block: 1614:29-1614:41"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1614:21-1614:27","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=readdir","basic block: 1614:29-1614:41"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1621:20-1621:23","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=stat","basic block: 1621:16-1621:46"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1652:5-1652:12","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=close","basic block: 1651:1-1662:14"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/x509_crt.c","call function: 1652:5-1652:12","call in function: mbedtls_x509_crt_parse_path@1525-1663","callee=closedir","basic block: 1651:1-1662:14"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/ctr_drbg.c","call function: 762:14-762:18","call in function: mbedtls_ctr_drbg_update_seed_file@753-792","callee=fopen","basic block: 755:1-762:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/ctr_drbg.c","call function: 727:14-727:18","call in function: mbedtls_ctr_drbg_write_seed_file@720-751","callee=fopen","basic block: 722:1-727:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/entropy.c","call function: 449:14-449:18","call in function: mbedtls_entropy_update_seed_file@442-479","callee=fopen","basic block: 443:1-449:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/entropy.c","call function: 417:14-417:18","call in function: mbedtls_entropy_write_seed_file@406-440","callee=fopen","basic block: 417:5-417:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/hmac_drbg.c","call function: 465:14-465:18","call in function: mbedtls_hmac_drbg_update_seed_file@457-495","callee=fopen","basic block: 458:1-465:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/hmac_drbg.c","call function: 432:14-432:18","call in function: mbedtls_hmac_drbg_write_seed_file@426-455","callee=fopen","basic block: 427:1-432:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/lms.c","call function: 380:11-380:34","call in function: mbedtls_lms_verify@304-422","callee=creat","basic block: 383:9-386:16"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/lms.c","call function: 408:15-408:42","call in function: mbedtls_lms_verify@304-422","callee=creat","basic block: 408:9-410:20"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/lmots.c","call function: 485:11-485:42","call in function: mbedtls_lmots_calculate_public_key_candidate@463-511","callee=creat","basic block: 485:5-488:11"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/md.c","call function: 931:14-931:18","call in function: mbedtls_md_file@919-966","callee=fopen","basic block: 931:5-931:39"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/net_sockets.c","call function: 691:5-691:9","call in function: mbedtls_net_free@684-694","callee=close","basic block: 690:5-694:1"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/net_sockets.c","call function: 676:5-676:9","call in function: mbedtls_net_close@670-679","callee=close","basic block: 676:5-679:1"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/net_sockets.c","call function: 639:17-639:21","call in function: mbedtls_net_send@629-665","callee=write","basic block: 639:5-641:15"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/net_sockets.c","call function: 550:17-550:20","call in function: mbedtls_net_recv@540-576","callee=read","basic block: 550:5-552:15"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 243:14-243:18","call in function: psa_its_remove@238-252","callee=fopen","basic block: 239:1-244:22"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 248:9-248:14","call in function: psa_its_remove@238-252","callee=remove","basic block: 247:5-248:29"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 195:14-195:18","call in function: psa_its_set@175-236","callee=fopen","basic block: 192:57-197:22"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 225:13-225:67","call in function: psa_its_set@175-236","callee=rename","basic block: 224:32-225:72"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 234:12-234:17","call in function: psa_its_set@175-236","callee=remove","basic block: 234:5-235:17"
"Path: /home/sixsquare/codeQL/projects/LIEF/build/mbed_src/library/psa_its_file.c","call function: 84:17-84:21","call in function: psa_its_read_file@74-105","callee=fopen","basic block: 77:1-85:25"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/Abstract/Parser.cpp","call function: 160:22-160:63","call in function: Parser@159-170","callee=std::basic_ifstream::basic_ifstream","basic block: 159:45-162:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/BinaryStream/FileStream.cpp","call function: 22:21-22:58","call in function: from_file@21-33","callee=std::basic_ifstream::basic_ifstream","basic block: 21:67-23:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/BinaryStream/VectorStream.cpp","call function: 27:21-27:58","call in function: from_file@26-41","callee=std::basic_ifstream::basic_ifstream","basic block: 26:71-28:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/DEX/File.cpp","call function: 58:25-58:65","call in function: save@50-69","callee=std::basic_ofstream::basic_ofstream","basic block: 58:3-58:65"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/ELF/Builder.cpp","call function: 107:29-107:89","call in function: write@106-113","callee=std::basic_ofstream::basic_ofstream","basic block: 106:56-108:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/MachO/Builder.cpp","call function: 412:29-412:89","call in function: write@411-418","callee=std::basic_ofstream::basic_ofstream","basic block: 411:62-413:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/PE/Builder.cpp","call function: 55:29-55:51","call in function: write@51-61","callee=std::basic_ofstream::basic_ofstream","basic block: 51:56-56:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/PE/resources/ResourceIcon.cpp","call function: 125:29-127:44","call in function: save@124-134","callee=std::basic_ofstream::basic_ofstream","basic block: 124:60-128:7"
"Path: /home/sixsquare/codeQL/projects/LIEF/src/PE/signature/SignatureParser.cpp","call function: 70:24-70:61","call in function: parse@69-82","callee=std::basic_ifstream::basic_ifstream","basic block: 69:67-71:7"
