"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 7885:5-7885:11","call in function: ShowExampleAppWindowTitles@7863-7890","callee=sprintf","basic block: 7875:5-7863:38"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 7454:17-7454:23","call in function: ShowExampleAppLayout@7430-7490","callee=sprintf","basic block: 7451:13-7455:37"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 6175:17-6175:23","call in function: ShowDemoWindowInputs@6069-6270","callee=sprintf","basic block: 6173:13-6177:40"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 5884:13-5884:19","call in function: ShowDemoWindowColumns@5865-6067","callee=sprintf","basic block: 5882:9-5885:33"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 5906:13-5906:19","call in function: ShowDemoWindowColumns@5865-6067","callee=sprintf","basic block: 5904:9-5907:33"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 4183:21-4183:27","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 4180:17-4184:48"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 4421:25-4421:31","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 4419:21-4422:37"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 4564:17-4564:23","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 4556:13-4573:17"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 5241:21-5241:27","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 5239:17-5238:57"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 5426:13-5426:19","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 5424:9-5428:20"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 5771:21-5771:27","call in function: ShowDemoWindowTables@4021-5861","callee=sprintf","basic block: 5759:17-5772:48"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 3751:13-3751:19","call in function: ShowDemoWindowPopups@3563-3858","callee=sprintf","basic block: 3747:9-3753:44"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 2760:21-2760:27","call in function: ShowDemoWindowLayout@2707-3561","callee=sprintf","basic block: 2758:17-2757:44"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 3327:17-3327:23","call in function: ShowDemoWindowLayout@2707-3561","callee=sprintf","basic block: 3325:17-3328:46"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1325:17-1325:23","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1323:13-1326:37"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1339:17-1339:23","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1337:13-1340:37"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1371:21-1371:27","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1369:17-1368:43"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1383:21-1383:27","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1381:17-1380:43"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1444:21-1444:27","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1441:17-1445:29"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1767:21-1767:28","call in function: ShowDemoWindowWidgets@574-2705","callee=snprintf","basic block: 1764:17-1768:43"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1828:13-1828:19","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1826:13-1846:51"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 1869:9-1869:15","call in function: ShowDemoWindowWidgets@574-2705","callee=sprintf","basic block: 1868:9-1871:22"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 8224:9-8224:15","call in function: DisplayContextMenu@8218-8230","callee=sprintf","basic block: 8223:9-8225:27"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/imgui/imgui_demo.cpp","call function: 6960:9-6960:17","call in function: AddLog@6954-6964","callee=vsnprintf","basic block: 6955:5-6954:18"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/json/json.hpp","call function: 8759:36-8759:48","call in function: get_token_string@8749-8770","callee=snprintf","basic block: 8756:13-8760:24"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/pugixml/src/pugixml.cpp","call function: 8489:3-8489:52","call in function: convert_number_to_mantissa_exponent@8486-8512","callee=snprintf","basic block: 8487:2-8498:35"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/pugixml/src/pugixml.cpp","call function: 5148:19-5148:24","call in function: write@5146-5150","callee=fwrite","basic block: 5147:2-5146:41"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/pugixml/src/pugixml.cpp","call function: 4738:3-4738:51","call in function: set_value_convert@4735-4741","callee=snprintf","basic block: 4736:2-4735:20"
"Path: /home/sixsquare/codeQL/projects/Lampray/third-party/pugixml/src/pugixml.cpp","call function: 4738:3-4738:51","call in function: set_value_convert@4735-4741","callee=snprintf","basic block: 4736:2-4735:36"
