"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Location/location/Location.cpp","call function: 241:19-241:24","call in function: IsFileVaild@240-250","callee=std::basic_ifstream::basic_ifstream","basic block: 240:53-243:9"
"Path: /home/sixsquare/codeQL/projects/Location/location/Location.cpp","call function: 242:12-242:15","call in function: IsFileVaild@240-250","callee=std::basic_ifstream::open","basic block: 240:53-243:9"
"Path: /home/sixsquare/codeQL/projects/Location/models/XgboostDetector.cpp","call function: 20:26-20:36","call in function: XgboostDetector@16-49","callee=std::basic_ifstream::basic_ifstream","basic block: 16:59-46:5"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 231:18-231:23","call in function: readCaliData@216-261","callee=std::basic_ifstream::basic_ifstream","basic block: 229:5-257:9"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 232:16-232:19","call in function: readCaliData@216-261","callee=std::basic_ifstream::open","basic block: 229:5-257:9"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 120:14-120:19","call in function: readCSV@118-199","callee=std::basic_ifstream::basic_ifstream","basic block: 119:106-194:5"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 122:12-122:15","call in function: readCSV@118-199","callee=std::basic_ifstream::open","basic block: 119:106-194:5"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 62:14-62:20","call in function: writeCSV@59-115","callee=std::basic_ofstream::basic_ofstream","basic block: 60:83-69:17"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 63:13-63:16","call in function: writeCSV@59-115","callee=std::basic_ofstream::open","basic block: 60:83-69:17"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 44:30-44:43","call in function: writeCSVs@36-57","callee=std::basic_ifstream::basic_ifstream","basic block: 43:5-43:22"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 21:23-21:29","call in function: getAllfiles@17-34","callee=open","basic block: 17:68-21:51"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 21:23-21:29","call in function: getAllfiles@17-34","callee=opendir","basic block: 17:68-21:51"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 22:23-22:29","call in function: getAllfiles@17-34","callee=read","basic block: 22:31-22:50"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 22:23-22:29","call in function: getAllfiles@17-34","callee=readdir","basic block: 22:31-22:50"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 28:9-28:16","call in function: getAllfiles@17-34","callee=close","basic block: 28:9-28:16"
"Path: /home/sixsquare/codeQL/projects/Location/test/utils/DataFormat.cpp","call function: 28:9-28:16","call in function: getAllfiles@17-34","callee=closedir","basic block: 28:9-28:16"
"Path: /home/sixsquare/codeQL/projects/Location/test/TestXgboostDetector.cpp","call function: 22:19-22:24","call in function: TestDetector@16-57","callee=std::basic_ifstream::basic_ifstream","basic block: 16:42-42:5"
"Path: /home/sixsquare/codeQL/projects/Location/test/TestXgboostDetector.cpp","call function: 23:12-23:15","call in function: TestDetector@16-57","callee=std::basic_ifstream::open","basic block: 16:42-42:5"
"Path: /home/sixsquare/codeQL/projects/Location/test/TestXgboostDetector.cpp","call function: 27:12-27:15","call in function: TestDetector@16-57","callee=std::basic_ifstream::open","basic block: 16:42-42:5"
