"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/Catch2/single_include/catch2/catch.hpp","call function: 10468:36-10468:47","call in function: isDebuggerActive@10463-10479","callee=std::getline","basic block: 10468:49-10468:36"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/Catch2/single_include/catch2/catch.hpp","call function: 9723:24-9723:35","call in function: operator()@9717-9737","callee=std::getline","basic block: 9723:38-9723:24"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/Catch2/single_include/catch2/catch.hpp","call function: 9068:12-9068:12","call in function: convertInto@9065-9073","callee=std::basic_istream::operator>>","basic block: 9065:85-9069:19"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/args/args.hxx","call function: 3276:20-3276:20","call in function: operator()@3269-3291","callee=std::basic_istream::operator>>","basic block: 3275:13-3276:20"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/args/args.hxx","call function: 3272:32-3272:32","call in function: operator()@3269-3291","callee=std::basic_istream::operator>>","basic block: 3270:9-3274:23"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 151:1-151:50","call in function: decode@151-151","callee=std::basic_istream::operator>>","basic block: 151:1-151:50"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 150:1-150:45","call in function: decode@150-150","callee=std::basic_istream::operator>>","basic block: 150:1-150:45"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 149:1-149:44","call in function: decode@149-149","callee=std::basic_istream::operator>>","basic block: 149:1-149:44"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 147:1-147:54","call in function: decode@147-147","callee=std::basic_istream::operator>>","basic block: 147:1-147:54"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 146:1-146:50","call in function: decode@146-146","callee=std::basic_istream::operator>>","basic block: 146:1-146:50"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 145:1-145:43","call in function: decode@145-145","callee=std::basic_istream::operator>>","basic block: 145:1-145:43"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 143:1-143:59","call in function: decode@143-143","callee=std::basic_istream::operator>>","basic block: 143:1-143:59"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 142:1-142:54","call in function: decode@142-142","callee=std::basic_istream::operator>>","basic block: 142:1-142:54"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 141:1-141:55","call in function: decode@141-141","callee=std::basic_istream::operator>>","basic block: 141:1-141:55"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 140:1-140:49","call in function: decode@140-140","callee=std::basic_istream::operator>>","basic block: 140:1-140:49"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 139:1-139:48","call in function: decode@139-139","callee=std::basic_istream::operator>>","basic block: 139:1-139:48"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 138:1-138:43","call in function: decode@138-138","callee=std::basic_istream::operator>>","basic block: 138:1-138:43"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 137:1-137:44","call in function: decode@137-137","callee=std::basic_istream::operator>>","basic block: 137:1-137:44"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/yaml-cpp/include/yaml-cpp/node/convert.h","call function: 136:1-136:42","call in function: decode@136-136","callee=std::basic_istream::operator>>","basic block: 136:1-136:42"
"Path: /home/sixsquare/codeQL/projects/LuaFormatter/third_party/antlr4/runtime/Cpp/runtime/src/misc/InterpreterDataReader.cpp","call function: 52:3-52:14","call in function: parseFile@20-124","callee=std::getline","basic block: 47:3-60:3"
