"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/MIPP/tests/lib/Catch2/include/catch.hpp","call function: 16814:13-16814:21","call in function: getCurrentTimestamp@16810-16834","callee=time","basic block: 16810:43-16810:39"
"Path: /home/sixsquare/codeQL/projects/MIPP/tests/lib/Catch2/include/catch.hpp","call function: 14945:112-14945:127","call in function: getCurrentNanosecondsSinceEpoch@14944-14946","callee=std::time","basic block: 14944:56-14944:40"
"Path: /home/sixsquare/codeQL/projects/MIPP/tests/lib/Catch2/include/catch.hpp","call function: 13154:13-13154:22","call in function: seedRng@13152-13157","callee=srand","basic block: 13153:36-13155:22"
"Path: /home/sixsquare/codeQL/projects/MIPP/tests/lib/Catch2/include/catch.hpp","call function: 9757:61-9757:69","call in function: operator()@9754-9759","callee=time","basic block: 9757:17-9758:39"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 30:21-30:22","call in function: main@7-152","callee=std::rand","basic block: 27:2-37:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 30:21-30:22","call in function: main@7-152","callee=std::random_device","basic block: 27:2-37:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 31:19-31:19","call in function: main@7-152","callee=std::rand","basic block: 27:2-37:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 31:19-31:19","call in function: main@7-152","callee=std::random_device","basic block: 27:2-37:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 152:1-152:1","call in function: main@7-152","callee=std::rand","basic block: 146:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mask.cpp","call function: 152:1-152:1","call in function: main@7-152","callee=std::random_device","basic block: 146:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 30:21-30:22","call in function: main@7-89","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 30:21-30:22","call in function: main@7-89","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 31:19-31:19","call in function: main@7-89","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 31:19-31:19","call in function: main@7-89","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 89:1-89:1","call in function: main@7-89","callee=std::rand","basic block: 45:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/mathfun.cpp","call function: 89:1-89:1","call in function: main@7-89","callee=std::random_device","basic block: 45:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 30:21-30:22","call in function: main@7-49","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 30:21-30:22","call in function: main@7-49","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 31:19-31:19","call in function: main@7-49","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 31:19-31:19","call in function: main@7-49","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 49:1-49:1","call in function: main@7-49","callee=std::rand","basic block: 37:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/initreg.cpp","call function: 49:1-49:1","call in function: main@7-49","callee=std::random_device","basic block: 37:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 46:21-46:22","call in function: main@15-146","callee=std::rand","basic block: 42:2-51:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 46:21-46:22","call in function: main@15-146","callee=std::random_device","basic block: 42:2-51:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 47:19-47:19","call in function: main@15-146","callee=std::rand","basic block: 42:2-51:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 47:19-47:19","call in function: main@15-146","callee=std::random_device","basic block: 42:2-51:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 146:1-146:1","call in function: main@15-146","callee=std::rand","basic block: 118:105-15:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/sorting.cpp","call function: 146:1-146:1","call in function: main@15-146","callee=std::random_device","basic block: 118:105-15:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 30:21-30:22","call in function: main@7-148","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 30:21-30:22","call in function: main@7-148","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 31:19-31:19","call in function: main@7-148","callee=std::rand","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 31:19-31:19","call in function: main@7-148","callee=std::random_device","basic block: 27:2-36:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 148:1-148:1","call in function: main@7-148","callee=std::rand","basic block: 137:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/operator.cpp","call function: 148:1-148:1","call in function: main@7-148","callee=std::random_device","basic block: 137:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 30:21-30:22","call in function: main@7-171","callee=std::rand","basic block: 27:2-35:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 30:21-30:22","call in function: main@7-171","callee=std::random_device","basic block: 27:2-35:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 31:19-31:19","call in function: main@7-171","callee=std::rand","basic block: 27:2-35:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 31:19-31:19","call in function: main@7-171","callee=std::random_device","basic block: 27:2-35:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 171:1-171:1","call in function: main@7-171","callee=std::rand","basic block: 167:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/reduction.cpp","call function: 171:1-171:1","call in function: main@7-171","callee=std::random_device","basic block: 167:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 30:21-30:22","call in function: main@7-111","callee=std::rand","basic block: 27:2-34:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 30:21-30:22","call in function: main@7-111","callee=std::random_device","basic block: 27:2-34:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 31:19-31:19","call in function: main@7-111","callee=std::rand","basic block: 27:2-34:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 31:19-31:19","call in function: main@7-111","callee=std::random_device","basic block: 27:2-34:16"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 111:1-111:1","call in function: main@7-111","callee=std::rand","basic block: 84:2-7:8"
"Path: /home/sixsquare/codeQL/projects/MIPP/examples/conversion.cpp","call function: 111:1-111:1","call in function: main@7-111","callee=std::random_device","basic block: 84:2-7:8"
