"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/Little-CMS/src/lcms2_install/src/cmsplugin.c","call function: 1035:18-1035:21","call in function: _cmsGetTime@1028-1055","callee=time","basic block: 1029:1-1042:27"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/Little-CMS/src/lcms2_install/src/cmsps2.c","call function: 339:5-339:8","call in function: EmitHeader@333-359","callee=time","basic block: 334:1-347:27"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libexpat/src/expat_install/expat/lib/xmlparse.c","call function: 1172:22-1172:33","call in function: gather_time_entropy@1163-1183","callee=gettimeofday","basic block: 1163:27-1163:19"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_os_posix.c","call function: 362:9-362:21","call in function: mz_os_ms_time@343-368","callee=clock_gettime","basic block: 362:9-362:21"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_os_posix.c","call function: 364:9-364:21","call in function: mz_os_ms_time@343-368","callee=clock_gettime","basic block: 364:9-364:21"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_os_posix.c","call function: 150:9-150:13","call in function: mz_os_rand@143-157","callee=srand","basic block: 148:23-150:13"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_os_posix.c","call function: 150:26-150:29","call in function: mz_os_rand@143-157","callee=time","basic block: 148:23-150:13"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_os_posix.c","call function: 154:21-154:24","call in function: mz_os_rand@143-157","callee=rand","basic block: 154:9-154:39"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/build/ext/build/libminizip-ng/src/minizip-ng_install/mz_zip_rw.c","call function: 1093:29-1093:32","call in function: mz_zip_writer_zip_cd@1074-1129","callee=time","basic block: 1074:44-1099:24"
"Path: /home/sixsquare/codeQL/projects/OpenColorIO/src/OpenColorIO/OCIOZArchive.cpp","call function: 272:35-272:38","call in function: archiveConfig@205-326","callee=time","basic block: 262:5-283:67"
