"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 272:5-272:16","call in function: sendEmail@269-343","callee=sqlite3_exec","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 283:5-283:22","call in function: sendEmail@269-343","callee=sqlite3_prepare_v2","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 283:5-283:22","call in function: sendEmail@269-343","callee=sqlite3_prepare","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 289:5-289:21","call in function: sendEmail@269-343","callee=sqlite3_bind_text","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 290:5-290:21","call in function: sendEmail@269-343","callee=sqlite3_bind_text","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 291:5-291:21","call in function: sendEmail@269-343","callee=sqlite3_bind_text","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 292:5-292:21","call in function: sendEmail@269-343","callee=sqlite3_bind_text","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 297:9-297:20","call in function: sendEmail@269-343","callee=sqlite3_step","basic block: 269:95-297:41"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 299:9-299:20","call in function: sendEmail@269-343","callee=sqlite3_exec","basic block: 297:44-343:1"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 312:5-312:22","call in function: sendEmail@269-343","callee=sqlite3_prepare_v2","basic block: 304:5-0:0"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 312:5-312:22","call in function: sendEmail@269-343","callee=sqlite3_prepare","basic block: 304:5-0:0"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 325:13-325:24","call in function: sendEmail@269-343","callee=sqlite3_step","basic block: 316:5-325:45"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 327:13-327:24","call in function: sendEmail@269-343","callee=sqlite3_exec","basic block: 325:48-343:1"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 337:9-337:20","call in function: sendEmail@269-343","callee=sqlite3_exec","basic block: 335:33-343:1"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 341:5-341:16","call in function: sendEmail@269-343","callee=sqlite3_exec","basic block: 341:5-343:1"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 260:5-260:22","call in function: getNextEmailIndex@249-267","callee=sqlite3_prepare_v2","basic block: 249:47-266:21"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 260:5-260:22","call in function: getNextEmailIndex@249-267","callee=sqlite3_prepare","basic block: 249:47-266:21"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 262:5-262:16","call in function: getNextEmailIndex@249-267","callee=sqlite3_step","basic block: 249:47-266:21"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 227:5-227:16","call in function: deleteEmails@224-247","callee=sqlite3_exec","basic block: 224:61-236:18"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 234:5-234:22","call in function: deleteEmails@224-247","callee=sqlite3_prepare_v2","basic block: 224:61-236:18"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 234:5-234:22","call in function: deleteEmails@224-247","callee=sqlite3_prepare","basic block: 224:61-236:18"
"Path: /home/sixsquare/codeQL/projects/OpenFusion/src/db/email.cpp","call function: 239:13-239:24","call in function: deleteEmails@224-247","callee=sqlite3_step","basic block: 236:33-239:45"
