"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/bfr_evaluate/main.cpp","call function: 828:13-828:39","call in function: testShape@816-844","callee=creat","basic block: 816:59-830:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/common/hbr_utils.h","call function: 568:37-568:49","call in function: simpleHbr@564-581","callee=creat","basic block: 568:5-574:12"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/common/hbr_utils.h","call function: 570:5-570:34","call in function: simpleHbr@564-581","callee=creat","basic block: 568:5-574:12"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/common/hbr_utils.h","call function: 572:5-572:21","call in function: simpleHbr@564-581","callee=creat","basic block: 568:5-574:12"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/common/hbr_utils.h","call function: 575:9-575:30","call in function: simpleHbr@564-581","callee=creat","basic block: 575:9-575:30"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/hbr_regression/baseline.cpp","call function: 224:25-224:29","call in function: main@214-264","callee=fopen","basic block: 222:29-225:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/hbr_regression/baseline.cpp","call function: 106:25-106:29","call in function: generate@85-156","callee=fopen","basic block: 99:35-107:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_1_2/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_1_3/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_1_1/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_1_5/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_1_4/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_2_1/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_2_2/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_1_2/far_tutorial_1_2.cpp","call function: 169:38-169:61","call in function: main@166-278","callee=creat","basic block: 166:24-190:18"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_3_2/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_2_1/far_tutorial_2_1.cpp","call function: 108:38-108:61","call in function: main@104-196","callee=creat","basic block: 104:24-130:18"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/bfr/tutorial_3_1/objWriter.h","call function: 61:17-61:21","call in function: ObjWriter@57-68","callee=fopen","basic block: 60:36-62:22"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/hbr_regression/main.cpp","call function: 130:21-130:25","call in function: writeObj@127-162","callee=fopen","basic block: 128:64-131:16"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/regression/hbr_regression/main.cpp","call function: 94:21-94:25","call in function: readShape@92-116","callee=fopen","basic block: 92:63-95:16"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_4_2/far_tutorial_4_2.cpp","call function: 100:38-100:58","call in function: main@97-193","callee=creat","basic block: 97:24-169:23"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_4_3/far_tutorial_4_3.cpp","call function: 109:38-109:58","call in function: main@106-196","callee=creat","basic block: 106:24-132:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_5_1/far_tutorial_5_1.cpp","call function: 124:38-124:58","call in function: main@121-292","callee=creat","basic block: 121:24-154:39"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/far/tutorial_4_1/far_tutorial_4_1.cpp","call function: 94:38-94:58","call in function: main@91-142","callee=creat","basic block: 91:24-132:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/osd/tutorial_0/osd_tutorial_0.cpp","call function: 63:48-63:68","call in function: main@52-116","callee=creat","basic block: 52:24-107:20"
"Path: /home/sixsquare/codeQL/projects/OpenSubdiv/tutorials/hbr/tutorial_2/hbr_tutorial_2.cpp","call function: 88:21-88:30","call in function: main@86-146","callee=creat","basic block: 86:24-95:20"
