"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/Downloader.cpp","call function: 363:33-363:52","call in function: metaDataChanged@356-371","callee=QRegularExpression::QRegularExpression","basic block: 361:4-365:24"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/Downloader.cpp","call function: 364:46-364:50","call in function: metaDataChanged@356-371","callee=QRegularExpression::match","basic block: 361:4-365:24"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/Downloader.cpp","call function: 367:27-367:34","call in function: metaDataChanged@356-371","callee=QRegularExpressionMatch::captured","basic block: 366:7-367:19"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 52:45-52:49","call in function: compareVersions@49-88","callee=QRegularExpression::match","basic block: 52:4-55:30"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 53:44-53:48","call in function: compareVersions@49-88","callee=QRegularExpression::match","basic block: 52:4-55:30"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 63:35-63:42","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 62:4-66:30"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 64:33-64:40","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 62:4-66:30"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 72:39-72:46","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 72:4-75:27"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 73:37-73:44","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 72:4-75:27"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 85:38-85:45","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 85:4-88:1"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 86:36-86:43","call in function: compareVersions@49-88","callee=QRegularExpressionMatch::captured","basic block: 85:4-88:1"
"Path: /home/sixsquare/codeQL/projects/QSimpleUpdater/src/QSimpleUpdater.cpp","call function: 51:32-51:94","call in function: compareVersions@49-88","callee=QRegularExpression::QRegularExpression","basic block: 51:32-51:94"
