"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 367:24-367:65","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 355:54-371:12"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 368:21-368:23","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 355:54-371:12"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 371:12-371:12","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 355:54-371:12"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 375:15-375:15","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 375:18-375:15"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 378:26-378:26","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 375:29-375:26"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 375:25-375:25","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 375:29-375:26"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 393:1-393:1","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 372:9-393:1"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 393:1-393:1","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 384:39-393:1"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 393:1-393:1","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 386:43-393:1"
"Path: /home/sixsquare/codeQL/projects/QuEST/quest/src/core/parser.cpp","call function: 393:1-393:1","call in function: isPauliStrSumCoeffWithinQcompRange@355-393","callee=std::regex","basic block: 392:5-393:1"
