"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/src/core/rps_util.hpp","call function: 1475:33-1475:41","call in function: AppendFormatV@1470-1483","callee=vsnprintf","basic block: 1475:13-1477:28"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/src/core/rps_device.cpp","call function: 90:9-90:15","call in function: rpsDefaultVPrint@88-91","callee=vprintf","basic block: 89:5-88:25"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/src/core/rps_device.cpp","call function: 84:9-84:15","call in function: rpsDefaultPrint@80-86","callee=vprintf","basic block: 81:5-80:24"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 179:9-179:14","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=printf","basic block: 172:79-181:46"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 191:13-191:18","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=printf","basic block: 190:9-194:47"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_cmd_compiler.cpp","call function: 389:17-389:22","call in function: C_A_T_C_H_T_E_S_T_0@298-402","callee=printf","basic block: 389:17-385:80"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/catch2/single_include/catch2/catch.hpp","call function: 15787:9-15787:20","call in function: getFormattedDuration@15774-15790","callee=sprintf","basic block: 15774:57-15774:36"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tools/app_framework/afx_common_helpers.hpp","call function: 89:13-89:19","call in function: ~RpsAfxScopedCpuTimer@78-98","callee=fprintf","basic block: 85:9-89:19"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/imgui/imgui.cpp","call function: 13162:9-13162:66","call in function: DebugLogV@13155-13163","callee=printf","basic block: 13162:9-13162:66"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/imgui/imgui.cpp","call function: 1699:13-1699:21","call in function: ImFormatStringV@1694-1707","callee=vsnprintf","basic block: 1695:1-1701:19"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/imgui/imgui.cpp","call function: 1683:13-1683:21","call in function: ImFormatString@1676-1692","callee=vsnprintf","basic block: 1677:1-1686:19"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/utils/rps_test_common.h","call function: 97:5-97:12","call in function: PrintToStdErr@90-112","callee=vfprintf","basic block: 91:1-90:25"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/src/core/rps_core.cpp","call function: 46:9-46:16","call in function: rpsDiagLog@32-50","callee=vfprintf","basic block: 45:5-46:16"
