"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 136:5-136:9","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=srand","basic block: 131:5-138:23"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 136:20-136:23","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=time","basic block: 131:5-138:23"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 140:23-140:26","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 141:32-141:35","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 142:24-142:27","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 142:32-142:35","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 143:33-143:36","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 143:51-143:54","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 143:69-143:72","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 144:23-144:26","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 144:50-144:53","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 145:24-145:27","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 145:51-145:54","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 146:22-146:25","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 146:49-146:52","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 147:22-147:25","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 147:49-147:52","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 148:22-148:25","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_hlsl_intrinsics.cpp","call function: 148:49-148:52","call in function: C_A_T_C_H_T_E_S_T_0@113-208","callee=rand","basic block: 139:5-160:70"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 643:52-643:55","call in function: C_A_T_C_H_T_E_S_T_10@617-687","callee=rand","basic block: 642:9-645:43"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 644:55-644:58","call in function: C_A_T_C_H_T_E_S_T_10@617-687","callee=rand","basic block: 642:9-645:43"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 600:36-600:39","call in function: C_A_T_C_H_T_E_S_T_8@446-615","callee=rand","basic block: 599:9-602:27"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 601:34-601:37","call in function: C_A_T_C_H_T_E_S_T_8@446-615","callee=rand","basic block: 599:9-602:27"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 606:30-606:33","call in function: C_A_T_C_H_T_E_S_T_8@446-615","callee=rand","basic block: 606:13-598:41"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/tests/console/test_utils.cpp","call function: 607:30-607:33","call in function: C_A_T_C_H_T_E_S_T_8@446-615","callee=rand","basic block: 606:13-598:41"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/catch2/single_include/catch2/catch.hpp","call function: 16812:13-16812:21","call in function: getCurrentTimestamp@16808-16832","callee=time","basic block: 16808:43-16808:39"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/catch2/single_include/catch2/catch.hpp","call function: 14943:112-14943:127","call in function: getCurrentNanosecondsSinceEpoch@14942-14944","callee=std::time","basic block: 14942:56-14942:40"
"Path: /home/sixsquare/codeQL/projects/RenderPipelineShaders/external/catch2/single_include/catch2/catch.hpp","call function: 13156:13-13156:22","call in function: seedRng@13154-13159","callee=srand","basic block: 13155:36-13157:22"
