"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/miniaudio/miniaudio.h","call function: 13309:19-13309:23","call in function: ma_wfopen@13240-13320","callee=fopen","basic block: 13299:40-13314:23"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/miniaudio/miniaudio.h","call function: 13204:19-13204:23","call in function: ma_fopen@13178-13218","callee=fopen","basic block: 13204:9-13207:23"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/qoi/qoi.h","call function: 620:12-620:16","call in function: qoi_read@619-646","callee=fopen","basic block: 619:68-624:7"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/qoi/qoi.h","call function: 596:12-596:16","call in function: qoi_write@595-617","callee=fopen","basic block: 595:77-600:7"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/stb_image/stb_image.h","call function: 1360:8-1360:12","call in function: stbi__fopen@1337-1363","callee=fopen","basic block: 1338:1-1337:24"
"Path: /home/sixsquare/codeQL/projects/SFML/extlibs/headers/stb_image/stb_image_write.h","call function: 327:8-327:12","call in function: stbiw__fopen@304-330","callee=fopen","basic block: 305:1-304:25"
"Path: /home/sixsquare/codeQL/projects/SFML/src/SFML/System/Utils.cpp","call function: 60:12-60:21","call in function: openFile@54-62","callee=fopen","basic block: 55:1-54:19"
"Path: /home/sixsquare/codeQL/projects/SFML/src/SFML/Window/Unix/JoystickImpl.cpp","call function: 385:20-385:25","call in function: getJoystickName@380-409","callee=open","basic block: 381:1-387:15"
"Path: /home/sixsquare/codeQL/projects/SFML/src/SFML/Window/Unix/JoystickImpl.cpp","call function: 510:18-510:23","call in function: open@500-535","callee=open","basic block: 506:5-511:23"
"Path: /home/sixsquare/codeQL/projects/SFML/src/SFML/Window/Unix/WindowImplX11.cpp","call function: 124:22-124:27","call in function: findExecutableName@120-151","callee=open","basic block: 121:1-126:16"
