"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 85:7-85:22","call in function: isNumber@82-105","callee=std::regex_match","basic block: 83:1-85:22"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 85:7-85:22","call in function: isNumber@82-105","callee=std::regex","basic block: 83:1-85:22"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 94:22-94:37","call in function: isNumber@82-105","callee=std::regex_match","basic block: 94:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 94:22-94:37","call in function: isNumber@82-105","callee=std::regex","basic block: 94:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 95:22-95:37","call in function: isNumber@82-105","callee=std::regex_match","basic block: 95:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 95:22-95:37","call in function: isNumber@82-105","callee=std::regex","basic block: 95:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 96:22-96:37","call in function: isNumber@82-105","callee=std::regex_match","basic block: 96:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 96:22-96:37","call in function: isNumber@82-105","callee=std::regex","basic block: 96:5-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 102:14-102:29","call in function: isNumber@82-105","callee=std::regex_match","basic block: 99:10-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 102:14-102:29","call in function: isNumber@82-105","callee=std::regex","basic block: 99:10-105:1"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 55:15-55:31","call in function: splitNumber@51-61","callee=std::regex","basic block: 52:1-51:24"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 55:15-55:31","call in function: splitNumber@51-61","callee=std::regex_search","basic block: 52:1-51:24"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 41:13-41:29","call in function: splitType@37-47","callee=std::regex","basic block: 38:1-44:18"
"Path: /home/sixsquare/codeQL/projects/Silice/src/TypesAndConsts.cpp","call function: 41:13-41:29","call in function: splitType@37-47","callee=std::regex_search","basic block: 38:1-44:18"
"Path: /home/sixsquare/codeQL/projects/Silice/src/LuaPreProcessor.cpp","call function: 835:9-835:21","call in function: luaProtectString@833-837","callee=std::regex","basic block: 834:1-833:35"
"Path: /home/sixsquare/codeQL/projects/Silice/src/LuaPreProcessor.cpp","call function: 835:9-835:21","call in function: luaProtectString@833-837","callee=std::regex_replace","basic block: 834:1-833:35"
"Path: /home/sixsquare/codeQL/projects/Silice/src/LuaPreProcessor.cpp","call function: 1573:9-1573:24","call in function: executeLuaString@1546-1601","callee=std::regex_match","basic block: 1566:12-1573:24"
"Path: /home/sixsquare/codeQL/projects/Silice/src/LuaPreProcessor.cpp","call function: 1573:9-1573:24","call in function: executeLuaString@1546-1601","callee=std::regex","basic block: 1566:12-1573:24"
"Path: /home/sixsquare/codeQL/projects/Silice/src/VerilogTemplate.cpp","call function: 57:12-57:29","call in function: fromString@51-60","callee=std::regex","basic block: 55:3-55:18"
"Path: /home/sixsquare/codeQL/projects/Silice/src/VerilogTemplate.cpp","call function: 57:12-57:29","call in function: fromString@51-60","callee=std::regex_replace","basic block: 55:3-55:18"
