"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/StereoKit/Examples/StereoKitCTest/demo_aliasing.cpp","call function: 29:2-29:9","call in function: demo_aliasing_update@15-50","callee=snprintf","basic block: 22:2-32:15"
"Path: /home/sixsquare/codeQL/projects/StereoKit/Examples/StereoKitCTest/demo_aliasing.cpp","call function: 38:2-38:9","call in function: demo_aliasing_update@15-50","callee=snprintf","basic block: 35:2-41:15"
"Path: /home/sixsquare/codeQL/projects/StereoKit/Examples/StereoKitCTest/demo_picker.cpp","call function: 96:4-96:11","call in function: demo_picker_update@73-116","callee=snprintf","basic block: 94:4-89:61"
"Path: /home/sixsquare/codeQL/projects/StereoKit/Examples/StereoKitCTest/demo_bvh.cpp","call function: 114:9-114:16","call in function: demo_bvh_update@80-208","callee=snprintf","basic block: 112:5-115:15"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model.cpp","call function: 709:3-709:10","call in function: model_node_set_name@705-713","callee=snprintf","basic block: 708:23-710:17"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model.cpp","call function: 505:3-505:10","call in function: model_node_add_child@501-559","callee=snprintf","basic block: 504:23-506:17"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 5837:18-5837:26","call in function: skg_logf@5831-5846","callee=vsnprintf","basic block: 5834:2-5846:1"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 5839:2-5839:10","call in function: skg_logf@5831-5846","callee=vsnprintf","basic block: 5834:2-5846:1"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 5163:4-5163:11","call in function: skg_tex_name@5156-5168","callee=snprintf","basic block: 5162:49-5162:46"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4575:3-4575:10","call in function: skg_shader_name@4572-4590","callee=snprintf","basic block: 4574:29-4576:91"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4579:3-4579:10","call in function: skg_shader_name@4572-4590","callee=snprintf","basic block: 4578:29-4580:90"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4583:3-4583:10","call in function: skg_shader_name@4572-4590","callee=snprintf","basic block: 4582:27-4584:88"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4587:3-4587:10","call in function: skg_shader_name@4572-4590","callee=snprintf","basic block: 4586:28-4588:89"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4527:3-4527:10","call in function: skg_shader_create_manual@4470-4568","callee=snprintf","basic block: 4526:52-4535:3"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4554:4-4554:11","call in function: skg_shader_create_manual@4470-4568","callee=snprintf","basic block: 4551:18-4555:54"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4295:3-4295:10","call in function: skg_mesh_name@4292-4302","callee=snprintf","basic block: 4294:31-4296:93"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 4299:3-4299:10","call in function: skg_mesh_name@4292-4302","callee=snprintf","basic block: 4298:30-4300:92"
"Path: /home/sixsquare/codeQL/projects/StereoKit/build/_deps/sk_gpu-src/src/sk_gpu.h","call function: 3798:2-3798:9","call in function: gl_init_egl@3740-3831","callee=snprintf","basic block: 3797:2-3802:33"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 597:3-597:10","call in function: gltf_parsematerial@593-739","callee=snprintf","basic block: 597:3-597:10"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 599:3-599:10","call in function: gltf_parsematerial@593-739","callee=snprintf","basic block: 599:3-599:10"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 601:3-601:10","call in function: gltf_parsematerial@593-739","callee=snprintf","basic block: 601:3-601:10"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 474:4-474:11","call in function: gltf_imagename@468-489","callee=snprintf","basic block: 473:24-474:11"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 476:4-476:11","call in function: gltf_imagename@468-489","callee=snprintf","basic block: 475:10-476:11"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 483:4-483:11","call in function: gltf_imagename@468-489","callee=snprintf","basic block: 482:34-484:10"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 488:2-488:9","call in function: gltf_imagename@468-489","callee=snprintf","basic block: 488:2-489:1"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/model_gltf.cpp","call function: 312:2-312:9","call in function: gltf_parsemesh@298-464","callee=snprintf","basic block: 311:2-314:22"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/asset_types/font.cpp","call function: 209:2-209:9","call in function: font_create_files@197-232","callee=snprintf","basic block: 208:2-212:22"
"Path: /home/sixsquare/codeQL/projects/StereoKit/StereoKitC/libraries/miniaudio.h","call function: 13646:18-13646:26","call in function: ma_log_postv@13632-13736","callee=vsnprintf","basic block: 13639:5-13647:22"
