"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/tn/glog/src/signalhandler.cc","call function: 162:24-162:27","call in function: DumpTimeInfo@161-172","callee=time","basic block: 161:21-161:17"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/tn/glog/src/utilities.cc","call function: 221:3-221:14","call in function: CycleClock_Now@218-223","callee=gettimeofday","basic block: 218:24-218:20"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/eigen-3.4.0/Eigen/src/Core/MathFunctions.h","call function: 909:26-909:34","call in function: run@887-912","callee=rand","basic block: 908:8-910:27"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/eigen-3.4.0/Eigen/src/Core/arch/Default/Half.h","call function: 779:35-779:43","call in function: run@777-780","callee=rand","basic block: 778:3-777:24"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/eigen-3.4.0/Eigen/src/Core/arch/Default/BFloat16.h","call function: 609:39-609:47","call in function: run@607-610","callee=rand","basic block: 608:3-607:28"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/models/StochasticDurationPredictor.cpp","call function: 133:18-133:25","call in function: forward@117-149","callee=rand","basic block: 129:5-138:47"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/header/limonp/Logging.hpp","call function: 47:5-47:8","call in function: Logger@35-66","callee=time","basic block: 36:20-35:8"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/header/limonp/StringUtil.hpp","call function: 353:3-353:6","call in function: GetTime@351-370","callee=time","basic block: 351:61-351:19"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/models/SynthesizerTrn.cpp","call function: 383:39-383:46","call in function: infer@323-401","callee=rand","basic block: 374:5-393:21"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/modules/random_gen.cpp","call function: 9:35-9:43","call in function: rand_gen@7-14","callee=std::linear_congruential_engine","basic block: 9:35-9:43"
"Path: /home/sixsquare/codeQL/projects/SummerTTS/src/modules/random_gen.cpp","call function: 9:36-9:39","call in function: rand_gen@7-14","callee=time","basic block: 9:35-9:43"
