"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/abstract_network.cc","call function: 28:5-28:84","call in function: ShareCommandQueue@27-30","callee=fprintf","basic block: 27:69-27:41"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/context.cc","call function: 37:5-37:74","call in function: ShareCommandQueue@36-39","callee=fprintf","basic block: 36:53-36:33"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 257:9-257:84","call in function: GetOutputMat@251-319","callee=fprintf","basic block: 256:55-319:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 266:13-266:86","call in function: GetOutputMat@251-319","callee=fprintf","basic block: 265:67-319:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 315:9-315:92","call in function: GetOutputMat@251-319","callee=fprintf","basic block: 314:12-315:92"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 205:9-205:51","call in function: SetInputMat@203-248","callee=fprintf","basic block: 204:15-206:77"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 213:9-213:83","call in function: SetInputMat@203-248","callee=fprintf","basic block: 212:54-248:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 222:13-222:84","call in function: SetInputMat@203-248","callee=fprintf","basic block: 221:64-248:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 243:9-243:96","call in function: SetInputMat@203-248","callee=fprintf","basic block: 242:35-248:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 61:5-61:73","call in function: Init@48-128","callee=fprintf","basic block: 61:5-61:73"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 68:13-68:80","call in function: Init@48-128","callee=fprintf","basic block: 66:38-69:26"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 83:9-83:70","call in function: Init@48-128","callee=fprintf","basic block: 82:20-84:87"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/instance.cc","call function: 92:9-92:130","call in function: Init@48-128","callee=fprintf","basic block: 92:9-94:5"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/const_folder.cc","call function: 52:9-52:112","call in function: Init@46-92","callee=fprintf","basic block: 51:28-55:116"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/const_folder.cc","call function: 65:9-65:45","call in function: Init@46-92","callee=fprintf","basic block: 65:9-65:45"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/blob_manager.cc","call function: 193:17-193:76","call in function: AllocateBlobMemory@156-261","callee=fprintf","basic block: 192:79-184:35"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/blob_manager.cc","call function: 70:9-70:46","call in function: Init@67-148","callee=fprintf","basic block: 69:39-71:72"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/mat.cc","call function: 75:9-75:58","call in function: Mat@67-95","callee=fprintf","basic block: 74:20-75:58"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 474:13-474:88","call in function: PrepareDoReshape@469-483","callee=fprintf","basic block: 473:30-471:18"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 339:5-339:30","call in function: GenerateInt8Blob@337-360","callee=fprintf","basic block: 339:5-339:30"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 351:9-351:94","call in function: GenerateInt8Blob@337-360","callee=fprintf","basic block: 350:95-360:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 262:13-262:62","call in function: InitLayers@157-331","callee=fprintf","basic block: 261:32-331:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 275:17-275:74","call in function: InitLayers@157-331","callee=fprintf","basic block: 273:34-331:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 305:17-305:75","call in function: InitLayers@157-331","callee=fprintf","basic block: 303:34-331:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 321:13-321:114","call in function: InitLayers@157-331","callee=fprintf","basic block: 320:28-331:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 603:17-603:78","call in function: Forward@558-635","callee=fprintf","basic block: 602:35-635:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 67:5-67:41","call in function: Init@62-138","callee=fprintf","basic block: 67:5-138:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/default_network.cc","call function: 73:9-73:70","call in function: Init@62-138","callee=fprintf","basic block: 72:56-138:1"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn.cc","call function: 51:9-51:37","call in function: GetModelInputShapesMap@49-55","callee=fprintf","basic block: 50:18-52:58"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn.cc","call function: 43:9-43:37","call in function: AddOutput@40-47","callee=fprintf","basic block: 42:17-44:58"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn.cc","call function: 29:9-29:202","call in function: Init@26-33","callee=fprintf","basic block: 28:17-30:196"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn_impl_default.cc","call function: 67:5-67:41","call in function: GetModelInputShapesMap@61-70","callee=fprintf","basic block: 67:5-67:41"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn_impl_default.cc","call function: 125:5-125:41","call in function: AddAllLayersOutput@123-133","callee=fprintf","basic block: 125:5-125:41"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/core/tnn_impl_default.cc","call function: 55:5-55:41","call in function: AddOutput@49-59","callee=fprintf","basic block: 55:5-55:41"
"Path: /home/sixsquare/codeQL/projects/TNN/source/tnn/device/cpu/acc/cpu_add_layer_acc.cc","call function: 48:9-48:100","call in function: Calculate@22-52","callee=fprintf","basic block: 47:12-49:89"
