"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/asn1/a_verify.c","call function: 194:18-194:37","call in function: ASN1_item_verify_ctx@110-225","callee=EVP_DigestVerifyInit","basic block: 194:13-194:66"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/asn1/a_verify.c","call function: 194:18-194:37","call in function: ASN1_item_verify_ctx@110-225","callee=EVP_DigestVerify","basic block: 194:13-194:66"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/asn1/a_verify.c","call function: 215:11-215:26","call in function: ASN1_item_verify_ctx@110-225","callee=EVP_DigestVerify","basic block: 213:5-217:16"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/asn1/a_verify.c","call function: 73:9-73:23","call in function: ASN1_verify@27-83","callee=EVP_VerifyFinal","basic block: 71:5-74:67"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_client.c","call function: 601:13-601:28","call in function: OSSL_CMP_certConf_cb@572-635","callee=X509_verify_cert","basic block: 596:9-601:38"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_client.c","call function: 601:13-601:28","call in function: OSSL_CMP_certConf_cb@572-635","callee=X509_verify","basic block: 596:9-601:38"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_genm.c","call function: 241:10-241:25","call in function: verify_ss_cert@225-246","callee=X509_verify_cert","basic block: 240:5-241:34"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_genm.c","call function: 241:10-241:25","call in function: verify_ss_cert@225-246","callee=X509_verify","basic block: 240:5-241:34"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_vfy.c","call function: 120:13-120:28","call in function: OSSL_CMP_validate_cert_path@98-132","callee=X509_verify_cert","basic block: 120:5-124:14"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cmp/cmp_vfy.c","call function: 120:13-120:28","call in function: OSSL_CMP_validate_cert_path@98-132","callee=X509_verify","basic block: 120:5-124:14"
"Path: /home/sixsquare/codeQL/projects/TileDB/build/_deps/vcpkg-src/buildtrees/openssl/src/nssl-3.6.0-e5f21250ea.clean/crypto/cms/cms_rsa.c","call function: 95:9-95:36","call in function: rsa_cms_decrypt@39-112","callee=EVP_PKEY_CTX_set_rsa_padding","basic block: 95:5-95:72"
