"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:57-72:57","call in function: get_random_generator_seed@70-73","callee=std::rand","basic block: 72:37-72:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:57-72:57","call in function: get_random_generator_seed@70-73","callee=std::random_device","basic block: 72:37-72:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:37-72:56","call in function: get_random_generator_seed@70-73","callee=std::rand","basic block: 72:37-72:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:37-72:56","call in function: get_random_generator_seed@70-73","callee=std::rand","basic block: 72:37-72:56"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:37-72:56","call in function: get_random_generator_seed@70-73","callee=std::random_device","basic block: 72:37-72:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/src/Utils.cc","call function: 72:37-72:56","call in function: get_random_generator_seed@70-73","callee=std::random_device","basic block: 72:37-72:56"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:57-35:57","call in function: GetRandomGeneratorSeed@33-39","callee=std::rand","basic block: 35:37-35:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:57-35:57","call in function: GetRandomGeneratorSeed@33-39","callee=std::random_device","basic block: 35:37-35:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:37-35:56","call in function: GetRandomGeneratorSeed@33-39","callee=std::rand","basic block: 35:37-35:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:37-35:56","call in function: GetRandomGeneratorSeed@33-39","callee=std::rand","basic block: 35:37-35:56"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:37-35:56","call in function: GetRandomGeneratorSeed@33-39","callee=std::random_device","basic block: 35:37-35:57"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/src/util.cc","call function: 35:37-35:56","call in function: GetRandomGeneratorSeed@33-39","callee=std::random_device","basic block: 35:37-35:56"
"Path: /home/sixsquare/codeQL/projects/Tokenizer/third_party/sentencepiece/third_party/protobuf-lite/time.cc","call function: 267:14-267:17","call in function: GetCurrentTime@264-269","callee=time","basic block: 264:51-264:19"
