"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/logging/terminallogstrategy.cpp","call function: 20:2-20:8","call in function: error@18-21","callee=fprintf","basic block: 19:1-18:31"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/logging/terminallogstrategy.cpp","call function: 15:2-15:7","call in function: info@13-16","callee=printf","basic block: 14:1-13:30"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/logging/terminallogstrategy.cpp","call function: 10:2-10:7","call in function: debug@8-11","callee=printf","basic block: 9:1-8:31"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/logging/terminallogstrategy.cpp","call function: 5:2-5:7","call in function: verbose@3-6","callee=printf","basic block: 4:1-3:33"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/patchversioner.cpp","call function: 45:2-45:8","call in function: writePatchData@33-55","callee=sprintf","basic block: 42:2-55:1"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/patcher.cpp","call function: 424:3-424:9","call in function: patchBase@415-508","callee=sprintf","basic block: 422:2-508:1"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/patcher.cpp","call function: 180:3-180:9","call in function: patchSMC@174-289","callee=sprintf","basic block: 178:2-289:1"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/network.cpp","call function: 52:3-52:8","call in function: progress_callback@31-61","callee=printf","basic block: 48:3-58:51"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/network.cpp","call function: 109:3-109:8","call in function: curlDownload@70-118","callee=printf","basic block: 102:3-113:21"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/debug.cpp","call function: 84:2-84:9","call in function: error@79-89","callee=vsprintf","basic block: 80:1-79:18"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/debug.cpp","call function: 67:2-67:9","call in function: info@61-73","callee=vsprintf","basic block: 62:1-61:17"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/debug.cpp","call function: 47:2-47:9","call in function: debug@41-53","callee=vsprintf","basic block: 42:1-41:18"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/debug.cpp","call function: 27:2-27:9","call in function: verbose@21-33","callee=vsprintf","basic block: 22:1-21:20"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/archive.cpp","call function: 41:2-41:7","call in function: extractionProgress@40-43","callee=printf","basic block: 40:50-40:32"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/archive.cpp","call function: 12:3-12:8","call in function: extractTar@3-20","callee=printf","basic block: 12:3-14:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/src/archive.cpp","call function: 30:3-30:8","call in function: extractZip@22-38","callee=printf","basic block: 30:3-33:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test_tar.cpp","call function: 34:3-34:8","call in function: tar_extraction@19-45","callee=printf","basic block: 32:45-41:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test_tar.cpp","call function: 36:3-36:8","call in function: tar_extraction@19-45","callee=printf","basic block: 32:45-41:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test_zip.cpp","call function: 30:3-30:8","call in function: zip_extraction@17-41","callee=printf","basic block: 27:2-37:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test_zip.cpp","call function: 32:3-32:8","call in function: zip_extraction@17-41","callee=printf","basic block: 27:2-37:2"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test.h","call function: 60:2-60:7","call in function: updateProgress@58-61","callee=printf","basic block: 59:1-58:19"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test.h","call function: 54:2-54:8","call in function: test_success@48-56","callee=vprintf","basic block: 48:45-48:17"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test.h","call function: 44:2-44:8","call in function: test_error@38-46","callee=vprintf","basic block: 38:43-38:15"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test.h","call function: 34:2-34:8","call in function: test_status@28-36","callee=vprintf","basic block: 28:44-28:16"
"Path: /home/sixsquare/codeQL/projects/auto-unlocker/tests/test.h","call function: 24:2-24:8","call in function: test_info@18-26","callee=vprintf","basic block: 18:42-18:14"
