"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/basisu_enc.h","call function: 3909:10-3909:14","call in function: fopen_safe@3902-3911","callee=fopen","basic block: 3903:2-3902:24"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/basisu_enc.cpp","call function: 929:11-929:15","call in function: write_data_to_file@923-944","callee=fopen","basic block: 924:2-931:12"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/basisu_enc.cpp","call function: 894:11-894:15","call in function: read_file_to_data@884-921","callee=fopen","basic block: 890:3-896:12"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/basisu_enc.cpp","call function: 837:11-837:15","call in function: read_file_to_vec@831-882","callee=fopen","basic block: 832:2-839:12"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/pvpngreader.cpp","call function: 293:13-293:17","call in function: init@284-297","callee=fopen","basic block: 285:2-284:10"
"Path: /home/sixsquare/codeQL/projects/basis_universal/basisu_tool.cpp","call function: 295:10-295:14","call in function: load_listing_file@286-355","callee=fopen","basic block: 287:1-298:11"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/tinyexr.h","call function: 8865:8-8865:12","call in function: ParseEXRVersionFromFile@8847-8884","callee=fopen","basic block: 8852:3-8867:9"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/tinyexr.h","call function: 8118:8-8118:12","call in function: SaveEXRMultipartImageToFile@8092-8147","callee=fopen","basic block: 8103:3-8120:9"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/tinyexr.h","call function: 8048:8-8048:12","call in function: SaveEXRImageToFile@8009-8077","callee=fopen","basic block: 8033:3-8050:9"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/tinyexr.h","call function: 6804:24-6804:27","call in function: MemoryMappedFile@6757-6880","callee=open","basic block: 6757:42-6805:30"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/qoi.h","call function: 629:12-629:16","call in function: qoi_read@624-656","callee=fopen","basic block: 624:68-634:7"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/3rdparty/qoi.h","call function: 600:12-600:16","call in function: qoi_write@595-622","callee=fopen","basic block: 595:77-605:7"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/basisu_gpu_texture.cpp","call function: 2528:11-2528:15","call in function: write_3dfx_out_file@2512-2537","callee=fopen","basic block: 2513:2-2530:12"
"Path: /home/sixsquare/codeQL/projects/basis_universal/encoder/jpgd.cpp","call function: 3053:13-3053:17","call in function: open@3042-3056","callee=fopen","basic block: 3043:2-3042:36"
"Path: /home/sixsquare/codeQL/projects/basis_universal/example/example.cpp","call function: 180:5-180:21","call in function: encode_uastc_hdr@173-224","callee=creat","basic block: 174:1-216:23"
