"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/asn1/a_time.cc","call function: 167:29-167:32","call in function: asn1_time_to_tm@164-180","callee=time","basic block: 166:21-167:27"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/abi_self_test.cc","call function: 111:3-111:12","call in function: TestBody@107-189","callee=RAND_bytes","basic block: 107:23-118:63"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/abi_self_test.cc","call function: 40:3-40:12","call in function: TestBody@31-70","callee=RAND_bytes","basic block: 36:32-49:34"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 659:17-659:34","call in function: operator()@655-700","callee=EVP_EncryptInit","basic block: 659:5-660:57"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 659:17-659:34","call in function: operator()@655-700","callee=EVP_EncryptInit_ex","basic block: 659:5-660:57"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 661:17-661:35","call in function: operator()@655-700","callee=EVP_CIPHER_CTX_ctrl","basic block: 661:5-662:74"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 663:17-663:34","call in function: operator()@655-700","callee=EVP_EncryptInit","basic block: 663:5-665:46"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 663:17-663:34","call in function: operator()@655-700","callee=EVP_EncryptInit_ex","basic block: 663:5-665:46"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 674:17-674:35","call in function: operator()@655-700","callee=EVP_CIPHER_CTX_ctrl","basic block: 674:5-675:54"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 686:19-686:37","call in function: operator()@655-700","callee=EVP_CIPHER_CTX_ctrl","basic block: 686:7-687:70"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 690:19-690:37","call in function: operator()@655-700","callee=EVP_CIPHER_CTX_ctrl","basic block: 690:7-691:66"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 351:7-351:21","call in function: TestLowLevelAPI@288-375","callee=AES_cbc_encrypt","basic block: 350:26-351:21"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 355:9-355:23","call in function: TestLowLevelAPI@288-375","callee=AES_cbc_encrypt","basic block: 353:10-358:26"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 153:15-153:31","call in function: TestCipherAPI@134-286","callee=EVP_CipherInit_ex","basic block: 153:15-155:49"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 163:15-163:31","call in function: TestCipherAPI@134-286","callee=EVP_CipherInit_ex","basic block: 163:3-165:44"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 174:17-174:35","call in function: TestCipherAPI@134-286","callee=EVP_CIPHER_CTX_ctrl","basic block: 174:5-175:74"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 176:15-176:38","call in function: TestCipherAPI@134-286","callee=EVP_CIPHER_CTX_iv_length","basic block: 176:5-176:61"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 178:26-178:49","call in function: TestCipherAPI@134-286","callee=EVP_CIPHER_CTX_iv_length","basic block: 178:5-178:61"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 180:15-180:31","call in function: TestCipherAPI@134-286","callee=EVP_CipherInit_ex","basic block: 180:3-182:72"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 185:17-185:35","call in function: TestCipherAPI@134-286","callee=EVP_CIPHER_CTX_ctrl","basic block: 185:5-187:71"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 281:19-281:37","call in function: TestCipherAPI@134-286","callee=EVP_CIPHER_CTX_ctrl","basic block: 281:7-282:56"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 60:12-60:26","call in function: GetCipher@40-87","callee=EVP_aes_128_cbc","basic block: 59:37-60:26"
"Path: /home/sixsquare/codeQL/projects/boringssl/crypto/cipher/cipher_test.cc","call function: 66:12-66:26","call in function: GetCipher@40-87","callee=EVP_aes_192_cbc","basic block: 65:37-66:26"
