"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/runtime/casadi_file_slurp.hpp","call function: 25:8-25:12","call in function: casadi_file_slurp@22-32","callee=fopen","basic block: 22:63-26:9"
"Path: /home/sixsquare/codeQL/projects/casadi/build/simple_mkstemps_test.cxx","call function: 5:12-5:15","call in function: main@4-6","callee=open","basic block: 4:12-4:8"
"Path: /home/sixsquare/codeQL/projects/casadi/build/mkstemps_test.cxx","call function: 5:14-5:21","call in function: main@3-7","callee=mkstemps","basic block: 3:12-3:8"
"Path: /home/sixsquare/codeQL/projects/casadi/build/mkstemps_test.cxx","call function: 5:14-5:21","call in function: main@3-7","callee=mkstemp","basic block: 3:12-3:8"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/casadi_os.cpp","call function: 439:47-439:80","call in function: ofstream_compat@410-443","callee=std::basic_ofstream::basic_ofstream","basic block: 411:72-440:9"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/casadi_os.cpp","call function: 404:47-404:80","call in function: ifstream_compat@380-408","callee=std::basic_ifstream::basic_ifstream","basic block: 381:62-405:9"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/casadi_misc.cpp","call function: 374:9-374:16","call in function: temporary_file@359-390","callee=mkstemps","basic block: 373:5-374:64"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/casadi_misc.cpp","call function: 374:9-374:16","call in function: temporary_file@359-390","callee=mkstemp","basic block: 373:5-374:64"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/core/function_internal.cpp","call function: 133:11-133:16","call in function: ~FunctionInternal@130-135","callee=remove","basic block: 131:31-133:16"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/solvers/shell_compiler.cpp","call function: 217:9-217:14","call in function: init@131-243","callee=system","basic block: 216:68-217:14"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/solvers/shell_compiler.cpp","call function: 236:9-236:14","call in function: init@131-243","callee=system","basic block: 235:68-236:14"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/solvers/shell_compiler.cpp","call function: 66:11-66:16","call in function: ~ShellCompiler@62-73","callee=remove","basic block: 65:19-66:16"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/solvers/shell_compiler.cpp","call function: 67:11-67:16","call in function: ~ShellCompiler@62-73","callee=remove","basic block: 66:85-67:16"
"Path: /home/sixsquare/codeQL/projects/casadi/casadi/solvers/shell_compiler.cpp","call function: 70:9-70:14","call in function: ~ShellCompiler@62-73","callee=remove","basic block: 68:7-68:35"
"Path: /home/sixsquare/codeQL/projects/casadi/docs/examples/cplusplus/codegen_usage.cpp","call function: 286:14-286:19","call in function: main@272-308","callee=system","basic block: 272:11-287:46"
"Path: /home/sixsquare/codeQL/projects/casadi/docs/examples/cplusplus/codegen_usage.cpp","call function: 301:10-301:15","call in function: main@272-308","callee=system","basic block: 294:3-302:46"
"Path: /home/sixsquare/codeQL/projects/casadi/external_packages/tinyxml2-9.0.0/tinyxml2.cpp","call function: 2288:16-2288:20","call in function: callfopen@2277-2291","callee=fopen","basic block: 2278:1-2277:22"
