"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/tests/perplexity.cpp","call function: 96:26-96:34","call in function: perplexity@91-156","callee=read","basic block: 91:36-110:25"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/tests/perplexity.cpp","call function: 59:23-59:27","call in function: read_text@58-64","callee=std::basic_ifstream::basic_ifstream","basic block: 58:55-60:22"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/base/internal/sysinfo.cc","call function: 207:12-207:15","call in function: ReadLongFromFile@199-228","callee=open","basic block: 199:61-208:14"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/base/internal/sysinfo.cc","call function: 214:13-214:16","call in function: ReadLongFromFile@199-228","callee=read","basic block: 213:8-215:20"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/base/internal/sysinfo.cc","call function: 225:5-225:9","call in function: ReadLongFromFile@199-228","callee=close","basic block: 225:5-225:9"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/main.cpp","call function: 94:27-94:35","call in function: parse_args@76-127","callee=read","basic block: 93:61-94:25"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/main.cpp","call function: 98:27-98:35","call in function: parse_args@76-127","callee=read","basic block: 97:61-98:25"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/main.cpp","call function: 69:23-69:27","call in function: read_text@68-74","callee=std::basic_ifstream::basic_ifstream","basic block: 68:48-70:22"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/internal/vdso_support.cc","call function: 105:14-105:17","call in function: Init@92-143","callee=open","basic block: 104:67-106:16"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/internal/vdso_support.cc","call function: 113:12-113:15","call in function: Init@92-143","callee=read","basic block: 113:17-113:53"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/internal/vdso_support.cc","call function: 125:5-125:9","call in function: Init@92-143","callee=close","basic block: 124:5-126:66"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1367:15-1367:18","call in function: MaybeInitializeObjFile@1365-1447","callee=open","basic block: 1366:20-1369:19"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1375:21-1375:24","call in function: MaybeInitializeObjFile@1365-1447","callee=open","basic block: 1374:37-1375:47"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1343:12-1343:15","call in function: MaybeOpenFdFromSelfExe@1339-1363","callee=open","basic block: 1343:3-1344:14"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1355:17-1355:20","call in function: MaybeOpenFdFromSelfExe@1339-1363","callee=read","basic block: 1353:31-1356:24"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1357:7-1357:11","call in function: MaybeOpenFdFromSelfExe@1339-1363","callee=close","basic block: 1356:65-1358:13"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1069:21-1069:24","call in function: ReadAddrMap@1058-1160","callee=open","basic block: 1069:3-1069:46"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 451:19-451:22","call in function: ReadPersistent@444-463","callee=read","basic block: 451:5-451:64"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 1205:7-1205:11","call in function: ClearAddrMap@1200-1210","callee=close","basic block: 1204:21-1205:11"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 926:7-926:11","call in function: ~FileDescriptor@924-928","callee=close","basic block: 925:19-926:11"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/debugging/symbolize_elf.inc","call function: 486:17-486:21","call in function: ReadFromOffset@468-503","callee=pread","basic block: 484:5-487:13"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/flags/parse.cc","call function: 187:27-187:41","call in function: ReadFromFlagfile@186-233","callee=std::basic_ifstream::basic_ifstream","basic block: 186:68-189:7"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/chatglm.cpp","call function: 304:14-304:17","call in function: MappedFile@303-315","callee=open","basic block: 303:49-305:25"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/chatglm.cpp","call function: 308:19-308:23","call in function: MappedFile@303-315","callee=fstat","basic block: 307:5-308:38"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/chatglm.cpp","call function: 314:19-314:23","call in function: MappedFile@303-315","callee=close","basic block: 314:5-314:33"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 2944:13-2944:16","call in function: ggml_numa_init@2921-3007","callee=stat","basic block: 2944:9-2944:32"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 2952:13-2952:16","call in function: ggml_numa_init@2921-3007","callee=stat","basic block: 2952:9-2952:32"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 2985:17-2985:20","call in function: ggml_numa_init@2921-3007","callee=stat","basic block: 2985:13-2985:36"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 2994:22-2994:26","call in function: ggml_numa_init@2921-3007","callee=fopen","basic block: 2993:25-2995:24"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 536:12-536:16","call in function: ggml_fopen@513-538","callee=fopen","basic block: 513:58-513:17"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/ggml/src/ggml.c","call function: 161:9-161:14","call in function: ggml_print_backtrace@144-171","callee=execl","basic block: 160:19-161:14"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/sentencepiece/third_party/protobuf-lite/zero_copy_stream_impl.cc","call function: 76:14-76:18","call in function: close_no_eintr@73-79","callee=close","basic block: 75:6-77:21"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/sentencepiece/third_party/protobuf-lite/zero_copy_stream_impl.cc","call function: 218:15-218:19","call in function: Write@208-241","callee=write","basic block: 217:8-219:22"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/sentencepiece/third_party/protobuf-lite/zero_copy_stream_impl.cc","call function: 150:33-150:37","call in function: Skip@147-163","callee=lseek","basic block: 150:39-150:74"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/sentencepiece/third_party/protobuf-lite/zero_copy_stream_impl.cc","call function: 136:14-136:17","call in function: Read@131-145","callee=read","basic block: 135:6-137:21"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/stb/stb_image.h","call function: 1360:8-1360:12","call in function: stbi__fopen@1337-1363","callee=fopen","basic block: 1338:1-1337:24"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/random/internal/seed_material.cc","call function: 169:21-169:24","call in function: ReadSeedMaterialFromDevURandom@163-188","callee=open","basic block: 163:66-171:14"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/random/internal/seed_material.cc","call function: 176:26-176:29","call in function: ReadSeedMaterialFromDevURandom@163-188","callee=read","basic block: 175:38-179:15"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/random/internal/seed_material.cc","call function: 186:3-186:7","call in function: ReadSeedMaterialFromDevURandom@163-188","callee=close","basic block: 186:3-187:16"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/time/internal/cctz/src/time_zone_info.cc","call function: 393:18-393:22","call in function: FOpen@386-395","callee=fopen","basic block: 386:58-386:20"
"Path: /home/sixsquare/codeQL/projects/chatglm.cpp/third_party/abseil-cpp/absl/time/internal/cctz/src/time_zone_info.cc","call function: 570:36-570:59","call in function: Open@535-583","callee=std::basic_ifstream::basic_ifstream","basic block: 568:26-571:32"
