"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 95:7-95:11","call in function: size@92-100","callee=fstat","basic block: 92:27-95:30"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 123:13-123:19","call in function: write@122-128","callee=write","basic block: 122:51-125:13"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 109:13-109:18","call in function: read@108-116","callee=read","basic block: 108:46-111:13"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 103:7-103:11","call in function: seekTo@102-106","callee=lseek","basic block: 102:31-103:35"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 76:5-76:9","call in function: ~File@74-78","callee=close","basic block: 75:17-76:9"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 60:12-60:15","call in function: openFile@24-70","callee=open","basic block: 60:3-61:12"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/file.cc","call function: 66:5-66:10","call in function: openFile@24-70","callee=unlink","basic block: 65:35-66:10"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/outputstream.cc","call function: 103:19-103:25","call in function: write@100-110","callee=write","basic block: 100:63-105:23"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/outputstream.cc","call function: 96:5-96:9","call in function: ~FileOutputStream@94-98","callee=close","basic block: 95:38-96:9"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/outputstream.cc","call function: 76:10-76:13","call in function: openFile@66-86","callee=open","basic block: 75:37-76:37"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/outputstream.cc","call function: 78:10-78:13","call in function: openFile@66-86","callee=open","basic block: 77:10-78:24"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 215:24-215:28","call in function: read_file@212-229","callee=std::basic_ifstream::basic_ifstream","basic block: 212:66-216:23"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 164:7-164:14","call in function: mv@163-167","callee=rename","basic block: 163:67-164:44"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 160:3-160:8","call in function: rm@159-161","callee=unlink","basic block: 159:48-159:17"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 134:14-134:20","call in function: ls@117-157","callee=open","basic block: 134:3-136:20"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 134:14-134:20","call in function: ls@117-157","callee=opendir","basic block: 134:3-136:20"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 141:19-141:25","call in function: ls@117-157","callee=read","basic block: 141:27-141:39"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 141:19-141:25","call in function: ls@117-157","callee=readdir","basic block: 141:27-141:39"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 156:3-156:10","call in function: ls@117-157","callee=close","basic block: 154:3-157:1"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 156:3-156:10","call in function: ls@117-157","callee=closedir","basic block: 154:3-157:1"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 63:7-63:10","call in function: size@60-68","callee=stat","basic block: 60:52-63:40"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 53:7-53:10","call in function: isDirectory@50-58","callee=stat","basic block: 50:57-53:40"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 39:7-39:10","call in function: exists@36-48","callee=stat","basic block: 36:52-39:40"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/fileutil.cc","call function: 31:7-31:13","call in function: mkdir@30-34","callee=mkdir","basic block: 30:50-31:44"
"Path: /home/sixsquare/codeQL/projects/clip/src/graphics/png.cc","call function: 42:16-42:20","call in function: pngWriteImageFile@24-86","callee=fopen","basic block: 40:3-45:10"
"Path: /home/sixsquare/codeQL/projects/clip/src/utils/geojson.cc","call function: 459:23-459:45","call in function: geojson_read_file@456-465","callee=std::basic_ifstream::basic_ifstream","basic block: 458:34-460:7"
