"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/net/http_string_utils.cpp","call function: 27:12-27:49","call in function: httpDateToTimePoint@18-28","callee=std::system","basic block: 26:5-28:1"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/net/http_string_utils.cpp","call function: 9:24-9:59","call in function: timePointToHTTPDate@6-15","callee=std::system","basic block: 6:70-6:26"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/utils/string_utils.hpp","call function: 100:13-100:73","call in function: operator()@95-103","callee=std::system","basic block: 99:45-100:73"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/platform_io.hpp","call function: 58:17-58:69","call in function: getSqe@50-64","callee=std::system","basic block: 58:17-58:69"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/platform_io.hpp","call function: 58:47-58:66","call in function: getSqe@50-64","callee=std::system","basic block: 58:17-58:69"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/error_handling.hpp","call function: 33:9-33:62","call in function: throwingErrorErrno@31-36","callee=std::system","basic block: 32:33-33:62"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/error_handling.hpp","call function: 33:40-33:59","call in function: throwingErrorErrno@31-36","callee=std::system","basic block: 32:33-33:62"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/error_handling.hpp","call function: 26:9-26:61","call in function: throwingError@24-29","callee=std::system","basic block: 25:31-26:61"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/error_handling.hpp","call function: 26:39-26:58","call in function: throwingError@24-29","callee=std::system","basic block: 25:31-26:61"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 132:13-132:45","call in function: close@130-134","callee=posix_spawn","basic block: 130:35-130:25"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 132:13-132:45","call in function: close@130-134","callee=posix_spawn_file_actions_addclose","basic block: 130:35-130:25"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 105:17-105:48","call in function: open@102-108","callee=posix_spawn","basic block: 103:26-104:30"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 105:17-105:48","call in function: open@102-108","callee=posix_spawn_file_actions_adddup2","basic block: 103:26-104:30"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 88:13-88:48","call in function: chdir@86-90","callee=posix_spawn","basic block: 86:55-86:25"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 82:9-82:31","call in function: ~ProcessBuilder@81-84","callee=posix_spawn","basic block: 81:23-81:19"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 83:9-83:40","call in function: ~ProcessBuilder@81-84","callee=posix_spawn","basic block: 81:23-81:19"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 75:28-75:47","call in function: ProcessBuilder@72-77","callee=posix_spawn","basic block: 72:22-72:18"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/process.hpp","call function: 76:28-76:56","call in function: ProcessBuilder@72-77","callee=posix_spawn","basic block: 72:22-72:18"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/platform_io.cpp","call function: 233:9-233:61","call in function: waitEventsFor@216-263","callee=std::system","basic block: 233:9-233:61"
"Path: /home/sixsquare/codeQL/projects/co_async/co_async/platform/platform_io.cpp","call function: 233:39-233:58","call in function: waitEventsFor@216-263","callee=std::system","basic block: 233:9-233:61"
