"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/debug_traits.cpp","call function: 18:17-18:68","call in function: unit_test@15-32","callee=std::filesystem::path","basic block: 18:17-18:68"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/debug_traits.cpp","call function: 18:17-18:68","call in function: unit_test@15-32","callee=std::filesystem::path","basic block: 16:4-23:49"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/debug_traits.cpp","call function: 22:57-22:108","call in function: unit_test@15-32","callee=std::filesystem::path","basic block: 22:57-22:108"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/debug_traits.cpp","call function: 22:57-22:108","call in function: unit_test@15-32","callee=std::filesystem::path","basic block: 16:4-23:49"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:29-99:74","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 0:0-99:74"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:29-99:74","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 96:1-0:0"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:66-99:72","call in function: main@95-116","callee=std::filesystem::path","basic block: 99:66-99:72"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:66-99:72","call in function: main@95-116","callee=std::filesystem::path","basic block: 96:1-0:0"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:76-99:76","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 99:76-99:76"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:76-99:76","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 96:1-0:0"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:29-99:29","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 99:4-100:61"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 99:29-99:29","call in function: main@95-116","callee=std::filesystem::directory_iterator","basic block: 99:29-99:29"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 100:36-100:39","call in function: main@95-116","callee=std::filesystem::path","basic block: 99:4-100:61"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 100:49-100:57","call in function: main@95-116","callee=std::filesystem::path","basic block: 99:4-100:61"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 100:64-100:73","call in function: main@95-116","callee=std::filesystem::path","basic block: 99:4-100:61"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 24:38-24:42","call in function: unit_test@17-91","callee=std::filesystem::path","basic block: 18:4-34:18"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 24:38-24:42","call in function: unit_test@17-91","callee=std::filesystem::path","basic block: 18:4-34:23"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 25:15-25:31","call in function: unit_test@17-91","callee=std::filesystem::path","basic block: 18:4-34:18"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 25:15-25:31","call in function: unit_test@17-91","callee=std::filesystem::path","basic block: 18:4-34:23"
"Path: /home/sixsquare/codeQL/projects/config/src/test/config/success.cpp","call function: 25:34-25:40","call in function: unit_test@17-91","callee=std::filesystem::path","basic block: 25:34-25:40"
