"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 438:9-438:14","call in function: operator()@437-439","callee=fwrite","basic block: 437:53-437:23"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 235:5-235:15","call in function: format@227-236","callee=fwrite","basic block: 235:5-236:1"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 210:5-210:16","call in function: format@207-211","callee=fprintf","basic block: 209:5-207:35"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 205:12-205:24","call in function: format@202-206","callee=snprintf","basic block: 204:5-202:42"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 199:5-199:16","call in function: format@196-200","callee=fprintf","basic block: 198:5-196:30"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 194:12-194:24","call in function: format@191-195","callee=snprintf","basic block: 193:5-191:37"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 188:5-188:16","call in function: format@185-189","callee=fprintf","basic block: 187:5-185:29"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 183:12-183:24","call in function: format@180-184","callee=snprintf","basic block: 182:5-180:36"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 177:5-177:16","call in function: format@174-178","callee=fprintf","basic block: 176:5-174:42"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 172:12-172:24","call in function: format@169-173","callee=snprintf","basic block: 171:5-169:49"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 167:5-167:16","call in function: format@164-168","callee=fprintf","basic block: 166:5-164:33"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 162:12-162:24","call in function: format@159-163","callee=snprintf","basic block: 161:5-159:40"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 157:5-157:16","call in function: format@154-158","callee=fprintf","basic block: 156:5-154:36"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 152:12-152:24","call in function: format@149-153","callee=snprintf","basic block: 151:5-149:43"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 147:5-147:16","call in function: format@144-148","callee=fprintf","basic block: 146:5-144:27"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Format.cpp","call function: 141:12-141:24","call in function: format@138-143","callee=snprintf","basic block: 140:5-141:24"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Path.cpp","call function: 1518:12-1518:18","call in function: mapWrite@1488-1580","callee=write","basic block: 1518:9-1518:34"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Path.cpp","call function: 1302:9-1302:19","call in function: copy@1233-1306","callee=fwrite","basic block: 1300:8-1303:17"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Path.cpp","call function: 1229:5-1229:15","call in function: append@1213-1231","callee=fwrite","basic block: 1227:5-1231:1"
"Path: /home/sixsquare/codeQL/projects/corrade/src/Corrade/Utility/Path.cpp","call function: 1209:5-1209:15","call in function: write@1193-1211","callee=fwrite","basic block: 1207:5-1211:1"
