"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 302:12-302:24","call in function: ev_pkey_deletor@300-303","callee=EVP_PKEY_free","basic block: 302:12-302:24"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 194:12-194:21","call in function: operator()@192-195","callee=EVP_sha512","basic block: 193:3-192:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 181:12-181:21","call in function: operator()@179-182","callee=EVP_sha384","basic block: 180:3-179:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 168:12-168:21","call in function: operator()@166-169","callee=EVP_sha256","basic block: 167:3-166:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 155:12-155:21","call in function: operator()@153-156","callee=EVP_sha512","basic block: 154:3-153:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 142:12-142:21","call in function: operator()@140-143","callee=EVP_sha384","basic block: 141:3-140:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 129:12-129:21","call in function: operator()@127-130","callee=EVP_sha256","basic block: 128:3-127:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 105:12-105:21","call in function: operator()@103-106","callee=EVP_sha512","basic block: 104:3-103:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 94:12-94:21","call in function: operator()@92-95","callee=EVP_sha384","basic block: 93:3-92:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 83:12-83:21","call in function: operator()@81-84","callee=EVP_sha256","basic block: 82:3-81:26"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/algorithm.hpp","call function: 359:26-359:29","call in function: sign@351-372","callee=HMAC","basic block: 352:3-366:12"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 289:22-289:41","call in function: public_key_ser@279-333","callee=EVP_PKEY_get1_EC_KEY","basic block: 283:1-291:13"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 240:28-240:46","call in function: evp_digest@233-276","callee=EVP_MD_CTX_new","basic block: 237:1-242:16"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 254:7-254:26","call in function: evp_digest@233-276","callee=EVP_DigestSignUpdate","basic block: 254:3-254:76"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 261:7-261:25","call in function: evp_digest@233-276","callee=EVP_DigestSignFinal","basic block: 259:3-261:62"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 270:7-270:25","call in function: evp_digest@233-276","callee=EVP_DigestSignFinal","basic block: 266:3-270:79"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 247:7-247:24","call in function: evp_digest@233-276","callee=EVP_DigestSignInit","basic block: 247:3-248:65"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 138:24-138:43","call in function: verify@98-198","callee=EVP_PKEY_get1_EC_KEY","basic block: 138:5-139:15"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 175:28-175:46","call in function: verify@98-198","callee=EVP_MD_CTX_new","basic block: 175:3-176:16"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 186:7-186:28","call in function: verify@98-198","callee=EVP_DigestVerifyUpdate","basic block: 186:3-186:78"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 191:7-191:27","call in function: verify@98-198","callee=EVP_DigestVerifyFinal","basic block: 191:3-192:76"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 180:7-180:26","call in function: verify@98-198","callee=EVP_DigestVerifyInit","basic block: 180:3-181:71"
"Path: /home/sixsquare/codeQL/projects/cpp-jwt/include/jwt/impl/algorithm.ipp","call function: 64:24-64:27","call in function: verify@54-94","callee=HMAC","basic block: 58:1-71:10"
