"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/cxxopts/test/catch.hpp","call function: 11779:23-11779:23","call in function: match@11776-11783","callee=std::regex","basic block: 11778:65-11779:23"
"Path: /home/sixsquare/codeQL/projects/cxxopts/test/catch.hpp","call function: 11782:20-11782:35","call in function: match@11776-11783","callee=std::regex","basic block: 11781:13-11776:32"
"Path: /home/sixsquare/codeQL/projects/cxxopts/test/catch.hpp","call function: 11782:20-11782:35","call in function: match@11776-11783","callee=std::regex_match","basic block: 11781:13-11776:32"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 862:3-862:18","call in function: ParseArgument@858-878","callee=std::regex","basic block: 861:3-866:13"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 862:3-862:18","call in function: ParseArgument@858-878","callee=std::regex_match","basic block: 861:3-866:13"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 843:8-843:23","call in function: split_option_names@840-856","callee=std::regex","basic block: 843:3-843:63"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 843:8-843:23","call in function: split_option_names@840-856","callee=std::regex_match","basic block: 843:3-843:63"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 852:24-853:82","call in function: split_option_names@840-856","callee=std::regex","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 852:24-853:82","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:13-854:26","call in function: split_option_names@840-856","callee=std::regex","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:13-854:26","call in function: split_option_names@840-856","callee=std::regex","basic block: 854:29-854:26"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:13-854:26","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:13-854:26","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 854:29-854:26"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:29-854:56","call in function: split_option_names@840-856","callee=std::regex","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:29-854:56","call in function: split_option_names@840-856","callee=std::regex","basic block: 854:29-854:26"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:29-854:56","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 854:29-854:56","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 854:29-854:26"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 856:1-856:1","call in function: split_option_names@840-856","callee=std::regex","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 856:1-856:1","call in function: split_option_names@840-856","callee=std::regex_token_iterator","basic block: 851:3-840:37"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 833:3-833:18","call in function: IsFalseText@829-835","callee=std::regex","basic block: 832:3-829:23"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 833:3-833:18","call in function: IsFalseText@829-835","callee=std::regex_match","basic block: 832:3-829:23"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 825:3-825:18","call in function: IsTrueText@821-827","callee=std::regex","basic block: 824:3-821:22"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 825:3-825:18","call in function: IsTrueText@821-827","callee=std::regex_match","basic block: 824:3-821:22"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 799:3-799:18","call in function: SplitInteger@794-819","callee=std::regex","basic block: 798:3-801:25"
"Path: /home/sixsquare/codeQL/projects/cxxopts/include/cxxopts.hpp","call function: 799:3-799:18","call in function: SplitInteger@794-819","callee=std::regex_match","basic block: 798:3-801:25"
