"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/daScript/examples/profile/test_profile.cpp","call function: 1094:13-1094:20","call in function: test_f2s@1088-1099","callee=snprintf","basic block: 1093:48-1093:44"
"Path: /home/sixsquare/codeQL/projects/daScript/src/builtin/module_builtin_ast_serialize.cpp","call function: 83:9-83:17","call in function: throw_formatted_error@78-88","callee=vsnprintf","basic block: 78:58-78:30"
"Path: /home/sixsquare/codeQL/projects/daScript/src/simulate/simulate.cpp","call function: 1734:13-1734:64","call in function: logger@1728-1736","callee=fprintf","basic block: 1734:13-1734:64"
"Path: /home/sixsquare/codeQL/projects/daScript/src/simulate/simulate.cpp","call function: 1874:13-1874:67","call in function: to_out@1871-1876","callee=fprintf","basic block: 1874:13-1874:67"
"Path: /home/sixsquare/codeQL/projects/daScript/src/simulate/simulate.cpp","call function: 1883:9-1883:17","call in function: throw_error_at@1878-1886","callee=vsnprintf","basic block: 1878:110-1885:36"
"Path: /home/sixsquare/codeQL/projects/daScript/src/simulate/simulate.cpp","call function: 1893:9-1893:17","call in function: throw_error_at@1888-1896","callee=vsnprintf","basic block: 1888:110-1895:25"
"Path: /home/sixsquare/codeQL/projects/daScript/src/simulate/simulate.cpp","call function: 1911:9-1911:17","call in function: throw_error_ex@1906-1914","callee=vsnprintf","basic block: 1906:89-1913:25"
"Path: /home/sixsquare/codeQL/projects/daScript/include/daScript/simulate/simulate.h","call function: 785:21-785:28","call in function: singleStep@781-793","callee=snprintf","basic block: 783:38-787:34"
"Path: /home/sixsquare/codeQL/projects/daScript/include/daScript/simulate/aot_builtin_string.h","call function: 120:9-120:16","call in function: format_and_write@118-123","callee=snprintf","basic block: 120:44-118:27"
"Path: /home/sixsquare/codeQL/projects/daScript/include/daScript/simulate/aot_builtin_string.h","call function: 102:9-102:16","call in function: format@100-104","callee=snprintf","basic block: 102:44-100:26"
"Path: /home/sixsquare/codeQL/projects/daScript/3rdparty/fmt/include/fmt/format-inl.h","call function: 77:20-77:30","call in function: fwrite_fully@76-80","callee=fwrite","basic block: 76:71-78:21"
"Path: /home/sixsquare/codeQL/projects/daScript/3rdparty/fmt/include/fmt/format-inl.h","call function: 71:7-71:17","call in function: report_error@66-73","callee=fwrite","basic block: 67:58-71:74"
"Path: /home/sixsquare/codeQL/projects/daScript/3rdparty/fmt/include/fmt/format-inl.h","call function: 33:3-33:14","call in function: assert_fail@30-37","callee=fprintf","basic block: 30:76-36:16"
"Path: /home/sixsquare/codeQL/projects/daScript/modules/dasGlfw/libglfw/src/init.c","call function: 164:9-164:17","call in function: _glfwInputError@154-216","callee=vsnprintf","basic block: 160:5-167:51"
"Path: /home/sixsquare/codeQL/projects/daScript/modules/dasGlfw/libglfw/src/linux_joystick.c","call function: 367:9-367:16","call in function: _glfwDetectJoystickConnectionLinux@347-383","callee=snprintf","basic block: 366:9-369:45"
"Path: /home/sixsquare/codeQL/projects/daScript/modules/dasGlfw/libglfw/src/linux_joystick.c","call function: 308:13-308:20","call in function: _glfwInitJoysticksLinux@269-321","callee=snprintf","basic block: 306:13-310:34"
"Path: /home/sixsquare/codeQL/projects/daScript/modules/dasGlfw/libglfw/src/linux_joystick.c","call function: 176:9-176:15","call in function: openJoystickDevice@127-240","callee=sprintf","basic block: 175:5-176:15"
