"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Reader/Reader.cpp","call function: 180:21-180:25","call in function: readFile@177-194","callee=fstat","basic block: 177:41-181:21"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Reader/Reader.cpp","call function: 79:11-79:16","call in function: Reader@74-103","callee=getcwd","basic block: 78:61-99:41"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Reader/Reader.cpp","call function: 212:15-212:19","call in function: findModule@196-225","callee=fopen","basic block: 207:25-213:15"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Unit/Unit.cpp","call function: 20:17-20:21","call in function: Unit@15-71","callee=fopen","basic block: 19:54-21:12"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 133:22-133:26","call in function: writeContext@127-156","callee=fopen","basic block: 127:29-134:17"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 88:15-88:20","call in function: writeLibraries@73-125","callee=system","basic block: 73:49-89:15"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 107:11-107:16","call in function: writeLibraries@73-125","callee=system","basic block: 105:5-108:15"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 118:11-118:16","call in function: writeLibraries@73-125","callee=system","basic block: 110:5-119:15"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 121:11-121:16","call in function: writeLibraries@73-125","callee=remove","basic block: 121:5-122:15"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Module/Writer/Writer.cpp","call function: 37:16-37:20","call in function: writeBitcode@33-71","callee=fopen","basic block: 33:47-38:11"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Form/Proc/Include/Include.cpp","call function: 57:24-57:28","call in function: FormProcIncludeParse@20-95","callee=fopen","basic block: 56:9-58:24"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Form/TopLevel/Include/Include.cpp","call function: 50:24-50:28","call in function: FormTopLevelIncludeParse@16-117","callee=fopen","basic block: 49:9-51:24"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/REPL/REPL.cpp","call function: 149:28-149:32","call in function: getLibArithmeticPath@146-161","callee=fopen","basic block: 146:36-149:76"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/REPL/REPL.cpp","call function: 151:35-151:39","call in function: getLibArithmeticPath@146-161","callee=fopen","basic block: 151:12-151:66"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/REPL/REPL.cpp","call function: 131:21-131:25","call in function: getLibDRTPath@128-143","callee=fopen","basic block: 128:29-131:62"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/REPL/REPL.cpp","call function: 133:28-133:32","call in function: getLibDRTPath@128-143","callee=fopen","basic block: 133:12-133:52"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/dalec.cpp","call function: 282:25-282:29","call in function: main@116-372","callee=fopen","basic block: 280:21-283:27"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/dalec.cpp","call function: 303:9-303:14","call in function: main@116-372","callee=remove","basic block: 303:9-304:12"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/dalec.cpp","call function: 355:18-355:23","call in function: main@116-372","callee=system","basic block: 355:5-356:19"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/dalec.cpp","call function: 363:14-363:19","call in function: main@116-372","callee=remove","basic block: 363:5-364:19"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/dalec.cpp","call function: 69:14-69:18","call in function: copyRuntimeToCompileTime@58-86","callee=popen","basic block: 62:23-70:22"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Utils/Utils.cpp","call function: 103:9-103:12","call in function: filesAreEquivalent@95-114","callee=stat","basic block: 100:5-103:30"
"Path: /home/sixsquare/codeQL/projects/dale/src/dale/Utils/Utils.cpp","call function: 108:9-108:12","call in function: filesAreEquivalent@95-114","callee=stat","basic block: 108:5-108:30"
