"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/KeyLookup.cpp","call function: 461:2-461:7","call in function: main@449-469","callee=printf","basic block: 449:12-449:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/KeyLookup.cpp","call function: 462:2-462:7","call in function: main@449-469","callee=printf","basic block: 449:12-449:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/KeyLookup.cpp","call function: 463:2-463:7","call in function: main@449-469","callee=printf","basic block: 449:12-449:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/KeyLookup.cpp","call function: 464:2-464:7","call in function: main@449-469","callee=printf","basic block: 449:12-449:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/common.h","call function: 212:2-212:7","call in function: RunTests@173-272","callee=printf","basic block: 212:2-222:33"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/common.h","call function: 232:3-232:8","call in function: RunTests@173-272","callee=printf","basic block: 229:44-229:40"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/modifying_memory.cpp","call function: 11:2-11:7","call in function: Setup@7-12","callee=printf","basic block: 7:14-7:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/false_sharing.cpp","call function: 136:2-136:7","call in function: main@114-147","callee=printf","basic block: 114:12-138:87"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/false_sharing.cpp","call function: 138:2-138:7","call in function: main@114-147","callee=printf","basic block: 138:112-140:87"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/false_sharing.cpp","call function: 140:2-140:7","call in function: main@114-147","callee=printf","basic block: 140:112-142:87"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/false_sharing.cpp","call function: 142:2-142:7","call in function: main@114-147","callee=printf","basic block: 142:112-146:41"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/false_sharing.cpp","call function: 27:2-27:7","call in function: Setup@21-28","callee=printf","basic block: 21:14-21:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/build/CMakeFiles/CMakeScratch/TryCompile-WH0ZQQ/OpenMPCheckVersion.c","call function: 15:3-15:6","call in function: main@13-17","callee=puts","basic block: 14:1-13:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/hotcold.cpp","call function: 185:2-185:7","call in function: main@175-189","callee=printf","basic block: 175:12-175:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/build/CMakeFiles/CMakeScratch/TryCompile-6URRgq/OpenMPCheckVersion.cpp","call function: 15:3-15:6","call in function: main@13-17","callee=puts","basic block: 14:1-13:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/cachesizeeffect.cpp","call function: 25:2-25:7","call in function: Setup@17-26","callee=printf","basic block: 17:14-17:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/matrixtranspose.cpp","call function: 144:2-144:7","call in function: main@105-153","callee=printf","basic block: 105:12-105:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/matrixtranspose.cpp","call function: 148:2-148:7","call in function: main@105-153","callee=printf","basic block: 105:12-105:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/readingtests.cpp","call function: 25:2-25:7","call in function: Setup@18-26","callee=printf","basic block: 18:14-18:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/branch_prediction.cpp","call function: 112:2-112:7","call in function: main@98-124","callee=printf","basic block: 98:12-114:97"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/branch_prediction.cpp","call function: 114:2-114:7","call in function: main@98-124","callee=printf","basic block: 114:122-117:99"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/branch_prediction.cpp","call function: 117:2-117:7","call in function: main@98-124","callee=printf","basic block: 117:124-119:99"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/branch_prediction.cpp","call function: 119:2-119:7","call in function: main@98-124","callee=printf","basic block: 119:124-98:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/branch_prediction.cpp","call function: 37:2-37:7","call in function: Setup@29-38","callee=printf","basic block: 29:14-29:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/fsm.cpp","call function: 208:3-208:8","call in function: main@119-214","callee=printf","basic block: 119:12-119:8"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/basictheory.cpp","call function: 38:2-38:7","call in function: Setup@27-39","callee=printf","basic block: 38:2-27:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/speculativewaste.cpp","call function: 57:2-57:7","call in function: Setup@30-58","callee=printf","basic block: 57:2-30:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/linkedlists.cpp","call function: 51:2-51:7","call in function: Setup@36-52","callee=printf","basic block: 50:2-36:10"
"Path: /home/sixsquare/codeQL/projects/dodbooksourcecode/simd_test.cpp","call function: 290:2-290:7","call in function: main@272-293","callee=printf","basic block: 272:12-272:8"
