"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 43:21-43:61","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 42:39-55:29"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 44:21-44:67","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 42:39-55:29"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 73:21-73:61","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 72:59-80:16"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 74:21-74:67","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 72:59-80:16"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 108:21-108:61","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 107:39-113:16"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/api/capi/test_capi_vector.cpp","call function: 109:21-109:67","call in function: ____C_A_T_C_H____T_E_S_T____276@39-130","callee=creat","basic block: 107:39-113:16"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/common/test_file_system.cpp","call function: 121:2-121:18","call in function: ____C_A_T_C_H____T_E_S_T____18@101-143","callee=creat","basic block: 116:2-122:39"
"Path: /home/sixsquare/codeQL/projects/duckdb/test/common/test_file_system.cpp","call function: 71:2-71:18","call in function: ____C_A_T_C_H____T_E_S_T____16@37-99","callee=creat","basic block: 65:2-72:39"
"Path: /home/sixsquare/codeQL/projects/duckdb/extension/jemalloc/jemalloc/src/prof_log.c","call function: 644:8-644:12","call in function: duckdb_je_prof_log_stop@613-697","callee=creat","basic block: 643:9-644:32"
"Path: /home/sixsquare/codeQL/projects/duckdb/extension/jemalloc/jemalloc/src/prof_sys.c","call function: 687:8-687:11","call in function: prof_open_maps_internal@677-696","callee=open","basic block: 677:50-677:23"
"Path: /home/sixsquare/codeQL/projects/duckdb/extension/jemalloc/jemalloc/src/prof_sys.c","call function: 575:9-575:13","call in function: prof_dump_open_file_impl@574-576","callee=creat","basic block: 574:58-574:24"
"Path: /home/sixsquare/codeQL/projects/duckdb/third_party/httplib/httplib.hpp","call function: 2708:9-2708:14","call in function: open@2688-2727","callee=open","basic block: 2688:42-2709:15"
"Path: /home/sixsquare/codeQL/projects/duckdb/src/common/local_file_system.cpp","call function: 698:13-698:19","call in function: ListFilesExtended@694-741","callee=open","basic block: 696:74-699:9"
"Path: /home/sixsquare/codeQL/projects/duckdb/src/common/local_file_system.cpp","call function: 363:11-363:14","call in function: OpenFile@302-451","callee=open","basic block: 363:2-365:13"
"Path: /home/sixsquare/codeQL/projects/duckdb/src/common/local_file_system.cpp","call function: 642:11-642:17","call in function: RemoveDirectoryRecursive@641-679","callee=open","basic block: 641:48-646:6"
"Path: /home/sixsquare/codeQL/projects/duckdb/third_party/yyjson/yyjson.cpp","call function: 931:12-931:16","call in function: fopen_safe@925-933","callee=fopen","basic block: 925:68-925:30"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/linenoise/history.cpp","call function: 206:8-206:12","call in function: Init@204-208","callee=fopen","basic block: 204:36-204:10"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/linenoise/history.cpp","call function: 182:7-182:11","call in function: Save@178-193","callee=fopen","basic block: 178:41-184:18"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/linenoise/history.cpp","call function: 135:8-135:12","call in function: Add@57-143","callee=fopen","basic block: 129:40-136:19"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/shell.cpp","call function: 1842:7-1842:11","call in function: OpenOutputFile@1832-1848","callee=fopen","basic block: 1842:7-1843:12"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/shell.cpp","call function: 3095:7-3095:11","call in function: ProcessFile@3090-3111","callee=fopen","basic block: 3090:69-3096:7"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/shell.cpp","call function: 2371:43-2371:47","call in function: ReadFromFile@2363-2381","callee=fopen","basic block: 2371:49-2371:73"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/linenoise/linenoise.cpp","call function: 1468:12-1468:16","call in function: EditBufferWithEditor@1444-1553","callee=fopen","basic block: 1461:2-1469:7"
"Path: /home/sixsquare/codeQL/projects/duckdb/tools/shell/linenoise/linenoise.cpp","call function: 1508:6-1508:10","call in function: EditBufferWithEditor@1444-1553","callee=fopen","basic block: 1508:2-1509:7"
