"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/analysis/FatExtract.cpp","call function: 45:24-45:28","call in function: onEntry@33-73","callee=fopen","basic block: 43:9-51:31"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/analysis/FatExtract.cpp","call function: 29:5-29:9","call in function: onDirectory@23-31","callee=mkdir","basic block: 24:1-23:28"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/table/FatBackup.cpp","call function: 58:20-58:24","call in function: patch@53-92","callee=fopen","basic block: 54:1-59:22"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/table/FatBackup.cpp","call function: 23:20-23:24","call in function: backup@17-51","callee=fopen","basic block: 18:1-25:16"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 115:5-115:11","call in function: writeData@109-129","callee=lseek64","basic block: 115:5-126:32"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 115:5-115:11","call in function: writeData@109-129","callee=lseek","basic block: 115:5-126:32"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 120:13-120:17","call in function: writeData@109-129","callee=write","basic block: 119:8-122:17"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 93:5-93:11","call in function: readData@87-107","callee=lseek64","basic block: 93:5-104:32"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 93:5-93:11","call in function: readData@87-107","callee=lseek","basic block: 93:5-104:32"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 98:13-98:16","call in function: readData@87-107","callee=read","basic block: 97:8-100:17"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 66:5-66:9","call in function: enableWrite@64-77","callee=close","basic block: 65:1-69:14"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 67:10-67:13","call in function: enableWrite@64-77","callee=open","basic block: 65:1-69:14"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 81:5-81:9","call in function: ~FatSystem@79-82","callee=close","basic block: 80:1-79:21"
"Path: /home/sixsquare/codeQL/projects/fatcat/src/core/FatSystem.cpp","call function: 41:10-41:13","call in function: FatSystem@28-50","callee=open","basic block: 39:1-44:14"
