"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2162:35-2162:39","call in function: Close@2162-2162","callee=close","basic block: 2162:26-2162:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2160:27-2160:31","call in function: Write@2159-2161","callee=write","basic block: 2159:63-2159:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2157:27-2157:30","call in function: Read@2156-2158","callee=read","basic block: 2156:56-2156:15"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2150:10-2150:16","call in function: FReopen@2149-2151","callee=freopen","basic block: 2149:72-2149:20"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2145:10-2145:14","call in function: FOpen@2137-2147","callee=fopen","basic block: 2137:56-2137:18"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2135:44-2135:48","call in function: ChDir@2135-2135","callee=chdir","basic block: 2135:35-2135:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2074:44-2074:48","call in function: RmDir@2074-2074","callee=rmdir","basic block: 2074:35-2074:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2069:61-2069:64","call in function: Stat@2069-2069","callee=stat","basic block: 2069:52-2069:15"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-internal-inl.h","call function: 1124:7-1124:11","call in function: CloseConnection@1120-1126","callee=close","basic block: 1124:7-1120:24"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-internal-inl.h","call function: 1109:11-1109:15","call in function: Send@1104-1113","callee=write","basic block: 1108:7-1109:75"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1187:35-1187:39","call in function: ExecDeathTestChildMain@1185-1210","callee=close","basic block: 1187:3-1187:56"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1195:7-1195:11","call in function: ExecDeathTestChildMain@1185-1210","callee=chdir","basic block: 1192:3-1195:30"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1206:3-1206:7","call in function: ExecDeathTestChildMain@1185-1210","callee=execv","basic block: 1206:3-1207:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1393:35-1393:39","call in function: AssumeRole@1354-1398","callee=close","basic block: 1393:3-1393:52"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1125:37-1125:41","call in function: AssumeRole@1101-1142","callee=close","basic block: 1125:5-1125:54"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-death-test.cc","call function: 1137:37-1137:41","call in function: AssumeRole@1101-1142","callee=close","basic block: 1137:5-1137:54"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1162:7-1162:11","call in function: GetCapturedString@1157-1174","callee=close","basic block: 1158:31-1163:25"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1155:23-1155:28","call in function: ~CapturedStream@1155-1155","callee=remove","basic block: 1155:21-1155:17"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1142:29-1142:37","call in function: CapturedStream@1071-1153","callee=mkstemp","basic block: 1071:70-1143:25"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 1152:5-1152:9","call in function: CapturedStream@1071-1153","callee=close","basic block: 1148:5-1071:25"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-port.cc","call function: 105:22-105:38","call in function: ReadProcFileField@103-112","callee=std::basic_ifstream::basic_ifstream","basic block: 103:61-108:3"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest.cc","call function: 5101:20-5101:25","call in function: ~ScopedPrematureExitFile@5098-5109","callee=remove","basic block: 5100:44-5102:16"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest.cc","call function: 4995:9-4995:13","call in function: MakeConnection@4968-5007","callee=close","basic block: 4994:76-4996:20"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-filepath.cc","call function: 365:16-365:20","call in function: CreateFolder@351-372","callee=mkdir","basic block: 351:37-368:18"
"Path: /home/sixsquare/codeQL/projects/fire-hpp/build/_deps/googletest-src/googletest/src/gtest-filepath.cc","call function: 115:18-115:23","call in function: GetCurrentDir@101-124","callee=getcwd","basic block: 101:36-122:35"
