"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/file_binary_writer.cpp","call function: 37:23-37:64","call in function: Loadfile@35-46","callee=std::basic_ifstream::basic_ifstream","basic block: 37:5-38:22"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/file_binary_writer.cpp","call function: 29:23-29:64","call in function: SaveFile@27-33","callee=std::basic_ofstream::basic_ofstream","basic block: 28:54-30:22"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/annotated_binary_text_gen.cpp","call function: 499:21-499:32","call in function: Generate@454-515","callee=std::basic_ofstream::basic_ofstream","basic block: 499:3-503:30"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/file_writer.cpp","call function: 37:23-37:60","call in function: Loadfile@35-44","callee=std::basic_ifstream::basic_ifstream","basic block: 37:5-38:22"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/file_writer.cpp","call function: 29:23-29:61","call in function: SaveFile@27-33","callee=std::basic_ofstream::basic_ofstream","basic block: 28:54-30:22"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 68:21-68:77","call in function: LoadFileRaw@66-84","callee=std::basic_ifstream::basic_ifstream","basic block: 68:21-69:20"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 62:21-62:25","call in function: FileExistsRaw@61-64","callee=std::basic_ifstream::basic_ifstream","basic block: 61:45-61:25"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 357:29-357:36","call in function: AbsolutePath@347-370","callee=realpath","basic block: 347:55-360:16"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 336:5-336:9","call in function: EnsureDirExists@328-339","callee=mkdir","basic block: 336:5-328:20"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 258:21-258:78","call in function: SaveFile@257-262","callee=std::basic_ofstream::basic_ofstream","basic block: 258:21-259:20"
"Path: /home/sixsquare/codeQL/projects/flatbuffers/src/util.cpp","call function: 239:7-239:22","call in function: DirExists@227-241","callee=stat","basic block: 227:34-239:45"
