"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fltk/CMake/posixScandir.cxx","call function: 5:11-5:17","call in function: func@4-7","callee=scandir","basic block: 4:54-4:8"
"Path: /home/sixsquare/codeQL/projects/fltk/build/CMakeFiles/CMakeScratch/TryCompile-oa2PAe/CheckFunctionExists.c","call function: 17:3-17:23","call in function: main@14-22","callee=remove","basic block: 15:1-18:15"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/preferences.cxx","call function: 188:3-188:19","call in function: main@187-329","callee=read","basic block: 187:33-187:8"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/preferences.cxx","call function: 326:3-326:11","call in function: main@187-329","callee=read","basic block: 187:33-187:8"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/preferences.cxx","call function: 110:3-110:12","call in function: saveAndCloseWindowCB@109-112","callee=write","basic block: 109:55-109:32"
"Path: /home/sixsquare/codeQL/projects/fltk/fltk-options/fltk-options.cxx","call function: 332:41-332:56","call in function: handle_option@314-341","callee=write","basic block: 332:58-332:61"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/terminal.cxx","call function: 1983:14-1983:28","call in function: do_command@1960-2013","callee=popen","basic block: 1983:3-1985:17"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/terminal.cxx","call function: 2004:21-2004:42","call in function: do_command@1960-2013","callee=read","basic block: 0:0-2005:19"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/terminal.cxx","call function: 2010:3-2010:12","call in function: do_command@1960-2013","callee=pclose","basic block: 2008:3-2013:1"
"Path: /home/sixsquare/codeQL/projects/fltk/build/test/terminal.cxx","call function: 1828:14-1828:18","call in function: show_file@1823-1842","callee=fopen","basic block: 1827:3-1829:17"
"Path: /home/sixsquare/codeQL/projects/fltk/fluid/app/shell_command.cxx","call function: 206:13-206:20","call in function: close@194-210","callee=pclose","basic block: 194:25-194:21"
"Path: /home/sixsquare/codeQL/projects/fltk/fluid/app/shell_command.cxx","call function: 186:8-186:14","call in function: popen@150-189","callee=popen","basic block: 150:61-150:24"
"Path: /home/sixsquare/codeQL/projects/fltk/fluid/io/String_Writer.cxx","call function: 77:11-77:31","call in function: write_strings@63-142","callee=write","basic block: 76:25-78:14"
"Path: /home/sixsquare/codeQL/projects/fltk/fluid/io/String_Writer.cxx","call function: 81:11-81:31","call in function: write_strings@63-142","callee=write","basic block: 80:27-82:14"
"Path: /home/sixsquare/codeQL/projects/fltk/fluid/io/String_Writer.cxx","call function: 95:13-95:33","call in function: write_strings@63-142","callee=write","basic block: 93:27-100:17"
