"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/flashrom/flashrom.cpp","call function: 78:5-78:13","call in function: digest@75-79","callee=MD5","basic block: 76:1-75:20"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/flashrom/flashrom.cpp","call function: 77:11-77:13","call in function: digest@75-79","callee=MD5","basic block: 76:1-75:20"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/flashrom/flashrom.cpp","call function: 77:2-77:9","call in function: digest@75-79","callee=MD5","basic block: 76:1-75:20"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_cfg.cpp","call function: 363:9-363:11","call in function: vmuDigest@359-377","callee=MD5","basic block: 363:2-364:15"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_cfg.cpp","call function: 373:10-373:12","call in function: vmuDigest@359-377","callee=MD5","basic block: 373:6-373:12"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_cfg.cpp","call function: 376:6-376:14","call in function: vmuDigest@359-377","callee=MD5","basic block: 376:2-377:1"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_jvs.cpp","call function: 1376:6-1376:14","call in function: maple_naomi_jamma@1201-1378","callee=MD5","basic block: 1375:3-1376:14"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_jvs.cpp","call function: 1375:12-1375:14","call in function: maple_naomi_jamma@1201-1378","callee=MD5","basic block: 1375:3-1376:14"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/maple/maple_jvs.cpp","call function: 1375:3-1375:10","call in function: maple_naomi_jamma@1201-1378","callee=MD5","basic block: 1375:3-1376:14"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 562:9-562:11","call in function: loadDecryptedRom@472-626","callee=MD5","basic block: 562:2-566:23"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 603:9-603:11","call in function: loadDecryptedRom@472-626","callee=MD5","basic block: 603:5-603:11"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 621:7-621:15","call in function: loadDecryptedRom@472-626","callee=MD5","basic block: 621:3-621:15"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 313:10-313:12","call in function: loadMameRom@229-470","callee=MD5","basic block: 308:3-317:14"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 374:13-374:15","call in function: loadMameRom@229-470","callee=MD5","basic block: 374:9-374:15"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 394:13-394:15","call in function: loadMameRom@229-470","callee=MD5","basic block: 394:9-394:15"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 408:13-408:15","call in function: loadMameRom@229-470","callee=MD5","basic block: 408:9-408:15"
"Path: /home/sixsquare/codeQL/projects/flycast/core/hw/naomi/naomi_cart.cpp","call function: 421:14-421:16","call in function: loadMameRom@229-470","callee=MD5","basic block: 421:10-421:16"
