"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 363:3-363:14","call in function: TestBody@360-371","callee=fprintf","basic block: 360:46-366:49"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 365:3-365:14","call in function: TestBody@360-371","callee=fprintf","basic block: 360:46-366:49"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 368:3-368:14","call in function: TestBody@360-371","callee=fprintf","basic block: 367:42-370:38"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 322:5-322:16","call in function: TestBody@318-330","callee=fprintf","basic block: 318:45-329:38"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 325:7-325:18","call in function: TestBody@318-330","callee=fprintf","basic block: 318:45-329:38"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 327:5-327:16","call in function: TestBody@318-330","callee=fprintf","basic block: 318:45-329:38"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra-test.cc","call function: 186:24-186:35","call in function: TestBody@183-190","callee=fprintf","basic block: 186:3-186:35"
"Path: /home/sixsquare/codeQL/projects/fmt/test/format-test.cc","call function: 2607:3-2607:9","call in function: TestBody@2601-2611","callee=fprintf","basic block: 2601:41-2601:39"
"Path: /home/sixsquare/codeQL/projects/fmt/test/os-test.cc","call function: 515:3-515:7","call in function: TestBody@511-517","callee=write","basic block: 514:45-516:36"
"Path: /home/sixsquare/codeQL/projects/fmt/test/os-test.cc","call function: 452:3-452:7","call in function: TestBody@450-455","callee=write","basic block: 450:24-454:36"
"Path: /home/sixsquare/codeQL/projects/fmt/test/os-test.cc","call function: 330:3-330:12","call in function: TestBody@327-337","callee=fputs","basic block: 327:45-336:21"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gtest/gtest.h","call function: 2347:27-2347:31","call in function: Write@2346-2348","callee=write","basic block: 2346:63-2346:16"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gtest/gtest.h","call function: 3985:7-3985:13","call in function: AddTestName@3982-3995","callee=fprintf","basic block: 3984:22-3990:18"
"Path: /home/sixsquare/codeQL/projects/fmt/test/posix-mock-test.cc","call function: 145:10-145:26","call in function: write@142-146","callee=write","basic block: 144:27-145:26"
"Path: /home/sixsquare/codeQL/projects/fmt/test/posix-mock-test.cc","call function: 383:3-383:12","call in function: TestBody@382-392","callee=write","basic block: 382:38-386:39"
"Path: /home/sixsquare/codeQL/projects/fmt/test/posix-mock-test.cc","call function: 275:3-275:12","call in function: TestBody@274-281","callee=write","basic block: 274:27-278:24"
"Path: /home/sixsquare/codeQL/projects/fmt/test/posix-mock-test.cc","call function: 253:3-253:12","call in function: TestBody@251-272","callee=write","basic block: 251:23-255:24"
"Path: /home/sixsquare/codeQL/projects/fmt/test/posix-mock-test.cc","call function: 218:3-218:12","call in function: TestBody@216-225","callee=write","basic block: 216:29-221:39"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 8526:5-8526:11","call in function: DeathTestAbort@8517-8534","callee=fprintf","basic block: 8523:24-8528:9"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 8530:5-8530:11","call in function: DeathTestAbort@8517-8534","callee=fprintf","basic block: 8529:10-8532:16"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 6507:7-6507:12","call in function: ScopedPrematureExitFile@6498-6510","callee=fwrite","basic block: 6502:44-6508:12"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 5994:3-5994:9","call in function: OnTestIterationEnd@5989-5996","callee=fprintf","basic block: 5990:70-5989:50"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 5485:3-5485:9","call in function: ListTestsMatchingFilter@5480-5487","callee=fprintf","basic block: 5481:49-5480:54"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 5476:3-5476:9","call in function: OnTestIterationEnd@5471-5478","callee=fprintf","basic block: 5472:70-5471:49"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 1490:11-1490:15","call in function: Send@1485-1495","callee=write","basic block: 1489:7-1490:75"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 12462:5-12462:11","call in function: VerifyRegisteredTestNames@12423-12469","callee=fprintf","basic block: 12461:25-12465:16"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 11077:3-11077:10","call in function: Init@11069-11096","callee=snprintf","basic block: 11069:34-11087:15"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 11811:5-11811:19","call in function: PrintByteSegmentInObjectTo@11798-11814","callee=snprintf","basic block: 11811:5-11801:36"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest/gmock-gtest-all.cc","call function: 7636:5-7636:11","call in function: ListTestsMatchingFilter@7589-7639","callee=fprintf","basic block: 7636:5-7638:3"
"Path: /home/sixsquare/codeQL/projects/fmt/include/fmt/format-inl.h","call function: 39:3-39:14","call in function: assert_fail@36-41","callee=fprintf","basic block: 36:76-40:7"
"Path: /home/sixsquare/codeQL/projects/fmt/include/fmt/format-inl.h","call function: 107:20-107:30","call in function: fwrite_all@106-110","callee=fwrite","basic block: 106:69-108:21"
"Path: /home/sixsquare/codeQL/projects/fmt/include/fmt/format-inl.h","call function: 101:7-101:17","call in function: do_report_error@96-103","callee=fwrite","basic block: 97:61-101:74"
"Path: /home/sixsquare/codeQL/projects/fmt/test/util.h","call function: 25:3-25:15","call in function: safe_sprintf@22-27","callee=vsnprintf","basic block: 22:66-22:6"
"Path: /home/sixsquare/codeQL/projects/fmt/include/fmt/printf.h","call function: 585:10-585:20","call in function: vfprintf@580-588","callee=fwrite","basic block: 581:62-585:62"
"Path: /home/sixsquare/codeQL/projects/fmt/src/os.cc","call function: 279:3-279:40","call in function: write@277-283","callee=write","basic block: 279:3-279:79"
"Path: /home/sixsquare/codeQL/projects/fmt/test/gtest-extra.cc","call function: 30:5-30:14","call in function: ~output_redirect@26-32","callee=fputs","basic block: 29:37-30:14"
