"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:22-590:46","call in function: load_resource@584-607","callee=std::filesystem::relative","basic block: 590:9-591:43"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:48-590:59","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 590:9-591:43"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:48-590:59","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 590:65-590:59"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:65-590:69","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 590:9-591:43"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:65-590:69","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 590:65-590:59"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 591:14-591:36","call in function: load_resource@584-607","callee=std::filesystem::exists","basic block: 590:9-591:43"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 593:40-593:64","call in function: load_resource@584-607","callee=std::filesystem::absolute","basic block: 591:46-594:16"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 597:28-597:33","call in function: load_resource@584-607","callee=std::basic_ifstream::basic_ifstream","basic block: 597:9-584:36"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 590:22-590:60","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 590:65-590:59"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 593:40-593:71","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 593:40-593:71"
"Path: /home/sixsquare/codeQL/projects/geos/tests/unit/utility.h","call function: 607:5-607:5","call in function: load_resource@584-607","callee=std::filesystem::path","basic block: 597:9-584:36"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 289:16-289:26","call in function: readWKBFile@287-295","callee=read","basic block: 288:48-289:26"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 291:21-291:26","call in function: readWKBFile@287-295","callee=std::basic_ifstream::basic_ifstream","basic block: 291:5-295:1"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 292:18-292:28","call in function: readWKBFile@287-295","callee=read","basic block: 291:5-295:1"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 261:16-261:26","call in function: readWKTFile@259-267","callee=read","basic block: 260:79-261:26"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 263:21-263:26","call in function: readWKTFile@259-267","callee=std::basic_ifstream::basic_ifstream","basic block: 263:5-267:1"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 264:18-264:28","call in function: readWKTFile@259-267","callee=read","basic block: 263:5-267:1"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 325:17-325:27","call in function: readInput@305-332","callee=read","basic block: 323:37-325:15"
"Path: /home/sixsquare/codeQL/projects/geos/util/geosop/GeosOp.cpp","call function: 329:17-329:27","call in function: readInput@305-332","callee=read","basic block: 327:10-329:15"
"Path: /home/sixsquare/codeQL/projects/geos/build/tests/unit/has_filesystem.cpp","call function: 3:30-3:35","call in function: main@2-5","callee=std::filesystem::path","basic block: 2:12-2:8"
"Path: /home/sixsquare/codeQL/projects/geos/build/tests/unit/has_filesystem.cpp","call function: 5:1-5:1","call in function: main@2-5","callee=std::filesystem::path","basic block: 2:12-2:8"
"Path: /home/sixsquare/codeQL/projects/geos/src/io/WKTFileReader.cpp","call function: 43:21-43:28","call in function: read@41-57","callee=std::basic_ifstream::basic_ifstream","basic block: 42:1-53:5"
"Path: /home/sixsquare/codeQL/projects/geos/tests/xmltester/tinyxml2/tinyxml2.cpp","call function: 2144:16-2144:20","call in function: callfopen@2133-2147","callee=fopen","basic block: 2134:1-2133:22"
