"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 176:3-176:10","call in function: ReportError@173-180","callee=vfprintf","basic block: 173:79-179:23"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 1810:5-1810:11","call in function: AppendFlagsIntoFile@1803-1826","callee=fprintf","basic block: 1810:5-1810:11"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 1822:3-1822:9","call in function: AppendFlagsIntoFile@1803-1826","callee=fprintf","basic block: 1821:3-1826:1"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 1633:5-1633:11","call in function: GetCommandLineFlagInfoOrDie@1630-1637","callee=fprintf","basic block: 1632:45-1634:22"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 376:7-376:14","call in function: ToString@370-396","callee=snprintf","basic block: 375:5-377:20"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 379:7-379:14","call in function: ToString@370-396","callee=snprintf","basic block: 378:5-380:20"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 382:7-382:14","call in function: ToString@370-396","callee=snprintf","basic block: 381:5-383:20"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 385:7-385:14","call in function: ToString@370-396","callee=snprintf","basic block: 384:5-386:20"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags.cc","call function: 388:7-388:14","call in function: ToString@370-396","callee=snprintf","basic block: 387:5-389:20"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_completions.cc","call function: 239:5-239:11","call in function: PrintFlagCompletionInfo@207-286","callee=fprintf","basic block: 239:5-286:1"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_completions.cc","call function: 284:5-284:11","call in function: PrintFlagCompletionInfo@207-286","callee=fprintf","basic block: 284:5-282:7"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 344:5-344:11","call in function: ShowVersion@341-352","callee=fprintf","basic block: 343:42-344:11"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 347:5-347:11","call in function: ShowVersion@341-352","callee=fprintf","basic block: 346:10-347:11"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 317:3-317:9","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 312:51-326:71"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 319:3-319:9","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 312:51-326:71"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 321:3-321:9","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 312:51-326:71"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 323:3-323:9","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 312:51-326:71"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 330:7-330:13","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 330:7-330:13"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 333:3-333:9","call in function: ShowXMLOfFlags@312-334","callee=fprintf","basic block: 333:3-312:26"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 265:3-265:9","call in function: ShowUsageWithFlagsMatching@263-297","callee=fprintf","basic block: 264:74-273:71"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 284:13-284:19","call in function: ShowUsageWithFlagsMatching@263-297","callee=fprintf","basic block: 284:13-284:19"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 287:9-287:15","call in function: ShowUsageWithFlagsMatching@263-297","callee=fprintf","basic block: 287:9-288:23"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 291:7-291:13","call in function: ShowUsageWithFlagsMatching@263-297","callee=fprintf","basic block: 291:7-291:13"
"Path: /home/sixsquare/codeQL/projects/gflags/src/gflags_reporting.cc","call function: 295:5-295:11","call in function: ShowUsageWithFlagsMatching@263-297","callee=fprintf","basic block: 294:44-295:11"
"Path: /home/sixsquare/codeQL/projects/gflags/src/util.h","call function: 282:23-282:31","call in function: InternalStringPrintf@273-314","callee=vsnprintf","basic block: 274:46-285:25"
"Path: /home/sixsquare/codeQL/projects/gflags/src/util.h","call function: 304:21-304:29","call in function: InternalStringPrintf@273-314","callee=vsnprintf","basic block: 300:5-307:27"
