"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/glslViewer/build/CMakeFiles/CMakeScratch/TryCompile-nN6rQ9/CheckFunctionExists.c","call function: 17:3-17:23","call in function: main@14-22","callee=remove","basic block: 15:1-18:15"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 1420:21-1420:31","call in function: lo_servers_wait@1354-1559","callee=close","basic block: 1420:21-1420:31"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 1273:17-1273:27","call in function: lo_server_recv_raw_stream@1231-1347","callee=close","basic block: 1272:24-1275:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 1329:17-1329:27","call in function: lo_server_recv_raw_stream@1231-1347","callee=close","basic block: 1328:24-1330:27"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 1129:9-1129:19","call in function: lo_server_recv_raw_stream_socket@1057-1228","callee=close","basic block: 1129:9-1131:16"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 804:17-804:27","call in function: lo_server_free@787-859","callee=close","basic block: 804:17-805:37"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 818:17-818:22","call in function: lo_server_free@787-859","callee=unlink","basic block: 818:17-818:22"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 843:17-843:27","call in function: lo_server_free@787-859","callee=close","basic block: 839:40-843:27"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/send.c","call function: 457:19-457:31","call in function: send_data@427-549","callee=creat","basic block: 456:30-458:19"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/send.c","call function: 535:13-535:23","call in function: send_data@427-549","callee=close","basic block: 534:36-536:20"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/send.c","call function: 323:17-323:27","call in function: create_socket@307-392","callee=close","basic block: 320:74-325:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/send.c","call function: 362:13-362:23","call in function: create_socket@307-392","callee=close","basic block: 359:76-364:21"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/glx_context.c","call function: 596:21-596:42","call in function: _glfwCreateContextGLX@445-630","callee=creat","basic block: 594:13-596:65"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/glx_context.c","call function: 603:13-603:34","call in function: _glfwCreateContextGLX@445-630","callee=creat","basic block: 601:5-603:57"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/address.c","call function: 293:13-293:23","call in function: lo_address_free@286-298","callee=close","basic block: 289:46-293:23"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/null_window.c","call function: 111:10-111:27","call in function: _glfwCreateWindowNull@106-141","callee=creat","basic block: 110:1-111:56"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 391:13-391:16","call in function: _glfwPollJoystickLinux@383-421","callee=read","basic block: 0:0-391:49"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 395:17-395:29","call in function: _glfwPollJoystickLinux@383-421","callee=close","basic block: 395:17-395:29"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 370:13-370:25","call in function: _glfwTerminateJoysticksLinux@364-381","callee=close","basic block: 370:13-370:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 378:9-378:13","call in function: _glfwTerminateJoysticksLinux@364-381","callee=close","basic block: 378:9-379:15"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 335:16-335:22","call in function: _glfwInitJoysticksLinux@310-362","callee=open","basic block: 333:5-336:11"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 335:16-335:22","call in function: _glfwInitJoysticksLinux@310-362","callee=opendir","basic block: 333:5-336:11"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 340:25-340:31","call in function: _glfwInitJoysticksLinux@310-362","callee=read","basic block: 340:33-340:36"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 340:25-340:31","call in function: _glfwInitJoysticksLinux@310-362","callee=readdir","basic block: 340:33-340:36"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 351:17-351:34","call in function: _glfwInitJoysticksLinux@310-362","callee=open","basic block: 347:13-351:34"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 355:9-355:16","call in function: _glfwInitJoysticksLinux@310-362","callee=close","basic block: 355:9-355:16"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 355:9-355:16","call in function: _glfwInitJoysticksLinux@310-362","callee=closedir","basic block: 355:9-355:16"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 274:26-274:29","call in function: _glfwDetectJoystickConnectionLinux@267-303","callee=read","basic block: 272:5-302:5"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 290:13-290:30","call in function: _glfwDetectJoystickConnectionLinux@267-303","callee=open","basic block: 290:13-290:30"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 297:21-297:33","call in function: _glfwDetectJoystickConnectionLinux@267-303","callee=close","basic block: 296:17-298:26"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 248:5-248:9","call in function: closeJoystick@246-251","callee=close","basic block: 247:1-246:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 138:16-138:19","call in function: openJoystickDevice@127-240","callee=open","basic block: 137:5-139:22"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 155:9-155:13","call in function: openJoystickDevice@127-240","callee=close","basic block: 151:5-156:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 162:9-162:13","call in function: openJoystickDevice@127-240","callee=close","basic block: 161:5-163:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/linux_joystick.c","call function: 229:9-229:13","call in function: openJoystickDevice@127-240","callee=close","basic block: 228:5-230:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/x11_window.c","call function: 2008:10-2008:27","call in function: _glfwCreateWindowX11@1971-2039","callee=creat","basic block: 2008:5-2008:61"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/x11_window.c","call function: 940:33-940:53","call in function: handleSelectionRequest@935-948","callee=write","basic block: 936:1-935:34"
