"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/include/vera/ops/math.h","call function: 186:52-186:55","call in function: random@186-186","callee=rand","basic block: 186:37-186:17"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/include/vera/ops/math.h","call function: 185:77-185:80","call in function: random@185-185","callee=rand","basic block: 185:43-185:19"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/include/vera/ops/math.h","call function: 184:51-184:54","call in function: random@184-184","callee=rand","basic block: 184:23-184:19"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/ops/image.cpp","call function: 736:32-736:40","call in function: refineSdfLayers@726-787","callee=std::linear_congruential_engine","basic block: 726:81-740:21"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 565:63-565:66","call in function: lo_server_new_with_proto_internal@424-717","callee=rand","basic block: 563:20-565:20"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/server.c","call function: 566:58-566:61","call in function: lo_server_new_with_proto_internal@424-717","callee=time","basic block: 563:20-565:20"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/liblo/src/timetag.c","call function: 59:5-59:16","call in function: lo_timetag_now@40-63","callee=gettimeofday","basic block: 41:1-40:19"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/posix_time.c","call function: 55:5-55:17","call in function: _glfwPlatformGetTimerValue@52-57","callee=clock_gettime","basic block: 53:1-52:35"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/posix_time.c","call function: 55:5-55:17","call in function: _glfwPlatformGetTimerValue@52-57","callee=clock","basic block: 53:1-52:35"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/posix_time.c","call function: 47:9-47:21","call in function: _glfwPlatformInitTimer@40-50","callee=clock_gettime","basic block: 41:1-47:48"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/glfw/src/posix_time.c","call function: 47:9-47:21","call in function: _glfwPlatformInitTimer@40-50","callee=clock","basic block: 41:1-47:48"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/deps/miniz/miniz.cpp","call function: 6175:9-6175:12","call in function: mz_zip_writer_add_mem_ex_v2@6108-6392","callee=time","basic block: 6173:5-6176:33"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/ops/time.cpp","call function: 26:18-26:21","call in function: getDateTimeString@25-36","callee=time","basic block: 25:58-25:29"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/glslViewer.cpp","call function: 1091:25-1091:29","call in function: operator()@1079-1154","callee=clock","basic block: 1086:109-1115:30"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/glslViewer.cpp","call function: 1146:23-1146:27","call in function: operator()@1079-1154","callee=clock","basic block: 1146:17-1086:103"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/sceneRender.cpp","call function: 356:36-356:44","call in function: uniformsInit@324-385","callee=std::linear_congruential_engine","basic block: 325:29-358:25"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/window.cpp","call function: 1951:5-1951:16","call in function: getDate@1935-1960","callee=gettimeofday","basic block: 1935:21-1935:17"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/window.cpp","call function: 1529:5-1529:17","call in function: getTimeSec@1527-1539","callee=clock_gettime","basic block: 1527:27-1531:42"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/window.cpp","call function: 1529:5-1529:17","call in function: getTimeSec@1527-1539","callee=clock","basic block: 1527:27-1531:42"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/window.cpp","call function: 953:5-953:17","call in function: initGL@952-1524","callee=clock_gettime","basic block: 952:36-956:36"
"Path: /home/sixsquare/codeQL/projects/glslViewer/deps/vera/src/window.cpp","call function: 953:5-953:17","call in function: initGL@952-1524","callee=clock","basic block: 952:36-956:36"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 40:96-40:111","call in function: end@31-50","callee=std::time","basic block: 40:5-48:24"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 40:18-40:72","call in function: end@31-50","callee=std::time","basic block: 40:5-48:24"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 41:84-41:99","call in function: end@31-50","callee=std::time","basic block: 40:5-48:24"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 41:16-41:70","call in function: end@31-50","callee=std::time","basic block: 40:5-48:24"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 17:85-17:100","call in function: start@13-19","callee=std::time","basic block: 13:23-13:19"
"Path: /home/sixsquare/codeQL/projects/glslViewer/src/core/tools/tracker.cpp","call function: 17:22-17:76","call in function: start@13-19","callee=std::time","basic block: 13:23-13:19"
