"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:39-71:39","call in function: TestBody@64-78","callee=std::filesystem::path","basic block: 69:5-74:44"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:39-71:74","call in function: TestBody@64-78","callee=std::filesystem::temp_directory_path","basic block: 69:5-74:44"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:80-71:97","call in function: TestBody@64-78","callee=std::filesystem::path","basic block: 69:5-74:44"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:80-71:97","call in function: TestBody@64-78","callee=std::filesystem::path","basic block: 71:39-71:76"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:39-71:76","call in function: TestBody@64-78","callee=std::filesystem::path","basic block: 71:39-71:76"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BufferTests.cpp","call function: 71:39-71:97","call in function: TestBody@64-78","callee=std::filesystem::path","basic block: 71:39-71:76"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 297:27-297:62","call in function: TestBody@295-320","callee=std::filesystem::temp_directory_path","basic block: 296:1-0:0"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 307:43-307:43","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 304:9-310:80"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 307:54-307:61","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 307:43-307:61"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 307:54-307:61","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 304:9-310:80"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 312:9-312:31","call in function: TestBody@295-320","callee=std::filesystem::remove","basic block: 310:9-317:82"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 312:33-312:45","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 310:9-317:82"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 312:33-312:45","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 312:33-312:45"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 307:43-307:61","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 307:43-307:61"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 320:1-320:1","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 310:9-320:1"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 320:1-320:1","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 317:9-320:1"
"Path: /home/sixsquare/codeQL/projects/gosu/test/BitmapTests.cpp","call function: 320:1-320:1","call in function: TestBody@295-320","callee=std::filesystem::path","basic block: 320:1-320:1"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 41:18-41:40","call in function: TestBody@33-42","callee=std::filesystem::exists","basic block: 41:5-41:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 41:42-41:49","call in function: TestBody@33-42","callee=std::filesystem::path","basic block: 41:5-41:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 41:42-41:49","call in function: TestBody@33-42","callee=std::filesystem::path","basic block: 41:42-41:49"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 26:17-26:39","call in function: TestBody@21-31","callee=std::filesystem::exists","basic block: 26:5-26:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 26:41-26:49","call in function: TestBody@21-31","callee=std::filesystem::path","basic block: 26:5-26:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 26:41-26:49","call in function: TestBody@21-31","callee=std::filesystem::path","basic block: 26:41-26:49"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 30:18-30:40","call in function: TestBody@21-31","callee=std::filesystem::exists","basic block: 30:5-30:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 30:42-30:49","call in function: TestBody@21-31","callee=std::filesystem::path","basic block: 30:5-30:51"
"Path: /home/sixsquare/codeQL/projects/gosu/test/DirectoriesTests.cpp","call function: 30:42-30:49","call in function: TestBody@21-31","callee=std::filesystem::path","basic block: 30:42-30:49"
