"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/base/proc_maps_iterator.cc","call function: 167:3-167:34","call in function: StringToIntegerUntilChar@165-186","callee=fprintf","basic block: 167:3-167:34"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/base/proc_maps_iterator.cc","call function: 141:3-141:25","call in function: ExtractUntilChar@140-153","callee=fprintf","basic block: 141:3-141:25"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/base/proc_maps_iterator.cc","call function: 142:3-142:27","call in function: ExtractUntilChar@140-153","callee=fprintf","basic block: 142:3-142:27"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/tcmalloc.cc","call function: 1317:17-1317:21","call in function: ReportLargeAlloc@1303-1319","callee=write","basic block: 1316:3-1303:28"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/tcmalloc.cc","call function: 468:17-468:21","call in function: PrintStats@463-471","callee=write","basic block: 463:35-463:22"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/debugallocation.cc","call function: 1013:19-1013:23","call in function: __malloctrace_write@1011-1016","callee=write","basic block: 1012:26-1014:16"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/debugallocation.cc","call function: 938:23-938:27","call in function: TracePrintf@868-950","callee=write","basic block: 937:29-940:13"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/debugallocation.cc","call function: 946:19-946:23","call in function: TracePrintf@868-950","callee=write","basic block: 945:15-947:16"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/profiledata.cc","call function: 143:17-143:21","call in function: FDWrite@140-148","callee=write","basic block: 143:5-143:36"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/profiledata.cc","call function: 180:3-180:9","call in function: Stop@150-182","callee=fprintf","basic block: 171:3-182:1"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/profiledata.cc","call function: 123:3-123:34","call in function: Start@93-131","callee=fprintf","basic block: 123:3-123:34"
"Path: /home/sixsquare/codeQL/projects/gperftools/vendor/googletest/googletest/include/gtest/internal/gtest-internal.h","call function: 583:7-583:13","call in function: AddTestName@580-592","callee=fprintf","basic block: 582:22-588:18"
"Path: /home/sixsquare/codeQL/projects/gperftools/src/tests/debugallocation_test.cc","call function: 209:5-209:58","call in function: TestBody@201-214","callee=fprintf","basic block: 209:5-209:58"
