"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2115:27-2115:31","call in function: Write@2114-2116","callee=write","basic block: 2114:63-2114:16"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/include/gtest/internal/gtest-internal.h","call function: 758:7-758:13","call in function: Register@749-780","callee=fprintf","basic block: 757:40-763:18"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/include/gtest/internal/gtest-internal.h","call function: 583:7-583:13","call in function: AddTestName@580-592","callee=fprintf","basic block: 582:22-588:18"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-internal-inl.h","call function: 1113:11-1113:15","call in function: Send@1108-1117","callee=write","basic block: 1112:7-1113:75"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-death-test.cc","call function: 302:5-302:11","call in function: DeathTestAbort@293-310","callee=fprintf","basic block: 299:24-304:9"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-death-test.cc","call function: 306:5-306:11","call in function: DeathTestAbort@293-310","callee=fprintf","basic block: 305:10-308:16"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-port.cc","call function: 731:3-731:10","call in function: Init@712-750","callee=snprintf","basic block: 712:34-741:15"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 5903:16-5903:21","call in function: AppendToTestWarningsOutputFile@5894-5905","callee=fwrite","basic block: 5903:3-5903:69"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 5149:7-5149:12","call in function: ScopedPrematureExitFile@5140-5152","callee=fwrite","basic block: 5144:44-5150:12"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 4589:3-4589:9","call in function: OnTestIterationEnd@4584-4591","callee=fprintf","basic block: 4585:71-4584:50"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 4070:3-4070:9","call in function: ListTestsMatchingFilter@4065-4072","callee=fprintf","basic block: 4066:49-4065:54"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 4061:3-4061:9","call in function: OnTestIterationEnd@4056-4063","callee=fprintf","basic block: 4057:70-4056:49"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest.cc","call function: 6410:5-6410:11","call in function: ListTestsMatchingFilter@6362-6414","callee=fprintf","basic block: 6410:5-6412:3"
"Path: /home/sixsquare/codeQL/projects/gtl/tests/phmap/raw_hash_set_test.cpp","call function: 1817:5-1817:58","call in function: TestBody@1804-1818","callee=fprintf","basic block: 1817:5-1817:58"
"Path: /home/sixsquare/codeQL/projects/gtl/examples/hmap/bench.cpp","call function: 398:13-398:19","call in function: main@360-433","callee=fprintf","basic block: 397:9-399:49"
"Path: /home/sixsquare/codeQL/projects/gtl/examples/hmap/bench.cpp","call function: 295:5-295:11","call in function: _fill_random2@274-298","callee=fprintf","basic block: 295:5-274:7"
"Path: /home/sixsquare/codeQL/projects/gtl/examples/hmap/bench.cpp","call function: 295:5-295:11","call in function: _fill_random2@274-298","callee=fprintf","basic block: 295:5-274:19"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-printers.cc","call function: 83:5-83:19","call in function: PrintByteSegmentInObjectTo@70-86","callee=snprintf","basic block: 83:5-73:36"
"Path: /home/sixsquare/codeQL/projects/gtl/build/googletest-src/googletest/src/gtest-typed-test.cc","call function: 98:5-98:11","call in function: VerifyRegisteredTestNames@60-105","callee=fprintf","basic block: 97:28-101:16"
