"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/handy/handy/conn.cc","call function: 279:9-279:13","call in function: bind@268-289","callee=close","basic block: 278:12-280:91"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 83:15-83:20","call in function: maybeRotate@67-99","callee=rename","basic block: 78:5-84:16"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 88:14-88:17","call in function: maybeRotate@67-99","callee=open","basic block: 88:5-89:14"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 52:14-52:17","call in function: setFileName@51-65","callee=open","basic block: 51:50-53:14"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 63:9-63:13","call in function: setFileName@51-65","callee=close","basic block: 63:9-63:13"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 132:15-132:21","call in function: logv@102-143","callee=write","basic block: 132:5-133:25"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 27:9-27:13","call in function: ~Logger@25-29","callee=close","basic block: 26:20-27:13"
"Path: /home/sixsquare/codeQL/projects/handy/handy/logging.cc","call function: 96:9-96:13","call in function: operator()@94-97","callee=close","basic block: 94:17-94:17"
"Path: /home/sixsquare/codeQL/projects/handy/handy/event_base.cc","call function: 82:17-82:21","call in function: wakeup@81-84","callee=write","basic block: 81:19-83:78"
"Path: /home/sixsquare/codeQL/projects/handy/handy/event_base.cc","call function: 183:5-183:11","call in function: ~EventsImp@181-184","callee=close","basic block: 181:25-181:21"
"Path: /home/sixsquare/codeQL/projects/handy/handy/event_base.cc","call function: 343:9-343:15","call in function: close@339-347","callee=close","basic block: 342:9-345:18"
"Path: /home/sixsquare/codeQL/projects/handy/handy/event_base.cc","call function: 155:33-155:38","call in function: operator()@153-167","callee=read","basic block: 155:44-155:38"
"Path: /home/sixsquare/codeQL/projects/handy/handy/poller.cc","call function: 47:5-47:11","call in function: ~PollerEpoll@42-49","callee=close","basic block: 47:5-48:37"
"Path: /home/sixsquare/codeQL/projects/handy/handy/udp.cc","call function: 21:9-21:13","call in function: bind@10-46","callee=close","basic block: 20:12-22:91"
"Path: /home/sixsquare/codeQL/projects/handy/handy/udp.cc","call function: 97:18-97:23","call in function: operator()@91-105","callee=read","basic block: 95:9-98:18"
"Path: /home/sixsquare/codeQL/projects/handy/handy/udp.cc","call function: 123:14-123:20","call in function: send@117-129","callee=write","basic block: 122:5-124:14"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 105:12-105:17","call in function: fileExists@104-106","callee=access","basic block: 104:49-104:21"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 98:9-98:14","call in function: renameFile@97-102","callee=rename","basic block: 97:76-98:48"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 88:9-88:12","call in function: getFileSize@86-95","callee=stat","basic block: 86:68-88:39"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 80:9-80:13","call in function: deleteDir@79-84","callee=rmdir","basic block: 79:49-80:32"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 73:9-73:13","call in function: createDir@72-77","callee=mkdir","basic block: 72:49-73:38"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 66:9-66:14","call in function: deleteFile@65-70","callee=unlink","basic block: 65:46-66:34"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 53:14-53:20","call in function: getChildren@51-63","callee=open","basic block: 51:84-54:17"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 53:14-53:20","call in function: getChildren@51-63","callee=opendir","basic block: 51:84-54:17"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 58:21-58:27","call in function: getChildren@51-63","callee=read","basic block: 58:29-58:39"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 58:21-58:27","call in function: getChildren@51-63","callee=readdir","basic block: 58:29-58:39"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 61:5-61:12","call in function: getChildren@51-63","callee=close","basic block: 61:5-62:20"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 61:5-61:12","call in function: getChildren@51-63","callee=closedir","basic block: 61:5-62:20"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 45:9-45:14","call in function: renameSave@42-49","callee=unlink","basic block: 44:17-46:11"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 30:14-30:17","call in function: writeContent@29-40","callee=open","basic block: 29:81-31:14"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 35:13-35:17","call in function: writeContent@29-40","callee=write","basic block: 34:5-36:13"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 11:14-11:17","call in function: getContent@10-27","callee=open","basic block: 10:73-12:14"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 18:17-18:20","call in function: getContent@10-27","callee=read","basic block: 17:14-19:17"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 34:26-34:30","call in function: operator()@34-34","callee=close","basic block: 34:24-34:24"
"Path: /home/sixsquare/codeQL/projects/handy/handy/file.cc","call function: 15:26-15:30","call in function: operator()@15-15","callee=close","basic block: 15:24-15:24"
"Path: /home/sixsquare/codeQL/projects/handy/handy/conn.h","call function: 110:74-110:80","call in function: writeImp@110-110","callee=write","basic block: 110:65-110:24"
