"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-debug.hh","call function: 116:5-116:11","call in function: _hb_print_func@97-118","callee=fprintf","basic block: 116:5-116:11"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-cff-common.hh","call function: 132:7-132:14","call in function: encode_num_tp@103-230","callee=snprintf","basic block: 111:5-138:15"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-cff-common.hh","call function: 156:2-156:9","call in function: encode_num_tp@103-230","callee=snprintf","basic block: 156:2-156:9"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-cff-common.hh","call function: 173:6-173:13","call in function: encode_num_tp@103-230","callee=snprintf","basic block: 173:6-173:13"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-cff-common.hh","call function: 184:2-184:9","call in function: encode_num_tp@103-230","callee=snprintf","basic block: 182:2-184:9"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 983:14-983:59","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 983:14-983:59"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 987:14-987:58","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 987:14-987:58"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 991:14-991:50","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 991:14-991:50"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 995:14-995:66","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 995:14-995:66"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 999:14-999:49","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 999:14-999:49"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1003:14-1003:48","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1003:14-1003:48"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1007:14-1007:52","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1007:14-1007:52"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1011:14-1011:48","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1011:14-1011:48"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1015:14-1015:45","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1015:14-1015:45"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1019:16-1019:61","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1019:16-1019:61"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1023:16-1023:60","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1023:16-1023:60"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1027:16-1027:52","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1027:16-1027:52"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1031:16-1031:68","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1031:16-1031:68"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1035:16-1035:51","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1035:16-1035:51"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1039:16-1039:50","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1039:16-1039:50"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1043:16-1043:54","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1043:16-1043:54"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1047:16-1047:50","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1047:16-1047:50"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1051:16-1051:47","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1051:16-1051:47"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1055:20-1055:54","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1055:20-1055:54"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1061:19-1061:50","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1061:19-1061:50"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-ot-shaper-use-machine.hh","call function: 1064:19-1064:53","call in function: find_syllables_use@906-1108","callee=fprintf","basic block: 1064:19-1064:53"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/OT/Layout/GSUB/Sequence.hh","call function: 120:2-120:9","call in function: apply@34-130","callee=snprintf","basic block: 120:2-116:71"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/OT/Layout/GSUB/Ligature.hh","call function: 135:2-135:9","call in function: apply@71-159","callee=snprintf","basic block: 135:2-130:41"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-font.hh","call function: 1106:17-1106:24","call in function: glyph_to_string@1101-1108","callee=snprintf","basic block: 1106:27-1106:60"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-input.cc","call function: 723:21-723:28","call in function: hb_subset_axis_range_to_string@707-736","callee=snprintf","basic block: 717:3-736:1"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-input.cc","call function: 726:21-726:28","call in function: hb_subset_axis_range_to_string@707-736","callee=snprintf","basic block: 717:3-736:1"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-subset-input.cc","call function: 729:21-729:28","call in function: hb_subset_axis_range_to_string@707-736","callee=snprintf","basic block: 717:3-736:1"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 374:21-374:28","call in function: _hb_buffer_serialize_unicode_text@354-395","callee=snprintf","basic block: 374:5-376:55"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 377:23-377:30","call in function: _hb_buffer_serialize_unicode_text@354-395","callee=snprintf","basic block: 376:58-377:87"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 294:23-294:30","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 294:7-294:88"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 297:23-297:30","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 296:58-297:87"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 303:25-303:32","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 303:9-303:113"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 308:25-308:32","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 306:7-309:28"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 310:27-310:34","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 310:11-310:92"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 317:25-317:32","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 317:9-317:109"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 324:18-324:25","call in function: _hb_buffer_serialize_glyphs_text@260-350","callee=snprintf","basic block: 324:2-324:144"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 232:21-232:28","call in function: _hb_buffer_serialize_unicode_json@207-257","callee=snprintf","basic block: 232:5-234:55"
"Path: /home/sixsquare/codeQL/projects/harfbuzz/src/hb-buffer-serialize.cc","call function: 235:23-235:30","call in function: _hb_buffer_serialize_unicode_json@207-257","callee=snprintf","basic block: 234:58-235:94"
