"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/test_util-inl.h","call function: 189:7-189:13","call in function: AssertMaskEqual@158-210","callee=fprintf","basic block: 188:33-193:16"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/test_util-inl.h","call function: 203:7-203:13","call in function: AssertMaskEqual@158-210","callee=fprintf","basic block: 202:29-207:16"
"Path: /home/sixsquare/codeQL/projects/highway/build/googletest-src/googletest/include/gtest/internal/gtest-port.h","call function: 2070:27-2070:31","call in function: Write@2069-2071","callee=write","basic block: 2069:63-2069:16"
"Path: /home/sixsquare/codeQL/projects/highway/build/googletest-src/googletest/include/gtest/internal/gtest-internal.h","call function: 609:7-609:13","call in function: AddTestName@606-619","callee=fprintf","basic block: 608:22-614:18"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/test_util.cc","call function: 107:7-107:13","call in function: AssertArrayEqual@95-115","callee=fprintf","basic block: 106:51-111:27"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/test_util_test.cc","call function: 39:5-39:12","call in function: operator()@36-53","callee=snprintf","basic block: 38:27-43:14"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/test_util_test.cc","call function: 45:7-45:14","call in function: operator()@36-53","callee=snprintf","basic block: 43:17-46:16"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/mask_mem_test.cc","call function: 325:9-325:15","call in function: operator()@301-375","callee=fprintf","basic block: 324:48-329:26"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/mask_mem_test.cc","call function: 347:11-347:17","call in function: operator()@301-375","callee=fprintf","basic block: 346:38-356:28"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/mask_mem_test.cc","call function: 363:11-363:17","call in function: operator()@301-375","callee=fprintf","basic block: 362:23-371:28"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/compress_test.cc","call function: 55:7-55:13","call in function: CheckStored@39-64","callee=fprintf","basic block: 53:45-61:24"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/expand_test.cc","call function: 48:7-48:13","call in function: CheckExpanded@39-57","callee=fprintf","basic block: 47:45-54:24"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/float_test.cc","call function: 206:7-206:13","call in function: operator()@172-210","callee=fprintf","basic block: 204:36-208:34"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/float_test.cc","call function: 159:7-159:13","call in function: operator()@131-163","callee=fprintf","basic block: 157:36-161:34"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 90:3-90:9","call in function: PrintConfig@59-95","callee=fprintf","basic block: 59:20-59:16"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 45:5-45:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 41:36-45:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 140:3-140:9","call in function: PrintAll@125-143","callee=fprintf","basic block: 125:17-125:13"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 107:3-107:9","call in function: PrintTargets@106-114","callee=fprintf","basic block: 106:53-109:49"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 111:5-111:11","call in function: PrintTargets@106-114","callee=fprintf","basic block: 109:77-109:74"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 113:3-113:9","call in function: PrintTargets@106-114","callee=fprintf","basic block: 113:3-106:17"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 98:3-98:9","call in function: PrintHave@97-104","callee=fprintf","basic block: 97:18-97:14"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 40:5-40:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 36:25-40:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 47:5-47:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 46:34-47:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 49:5-49:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 48:39-49:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 51:5-51:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 50:32-51:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 53:5-53:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 52:33-53:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/tests/list_targets.cc","call function: 55:5-55:11","call in function: PrintCompiler@35-57","callee=fprintf","basic block: 54:10-55:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 2004:5-2004:11","call in function: PartialSort@2001-2043","callee=fprintf","basic block: 2003:26-2004:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 2049:5-2049:11","call in function: Select@2046-2084","callee=fprintf","basic block: 2048:26-2049:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 795:5-795:11","call in function: Partition@782-924","callee=fprintf","basic block: 794:26-795:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 1964:5-1964:11","call in function: Sort@1961-1998","callee=fprintf","basic block: 1963:26-1964:11"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 1777:5-1777:11","call in function: Recurse@1762-1876","callee=fprintf","basic block: 1776:26-1779:15"
"Path: /home/sixsquare/codeQL/projects/highway/hwy/contrib/sort/vqsort-inl.h","call function: 1777:5-1777:11","call in function: Recurse@1762-1876","callee=fprintf","basic block: 1776:26-1779:38"
