"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/hnswlib/hnswlib/bruteforce.h","call function: 139:30-139:56","call in function: saveIndex@138-149","callee=std::basic_ofstream::basic_ofstream","basic block: 138:49-138:10"
"Path: /home/sixsquare/codeQL/projects/hnswlib/hnswlib/bruteforce.h","call function: 139:30-139:56","call in function: saveIndex@138-149","callee=std::basic_ofstream::basic_ofstream","basic block: 138:49-138:18"
"Path: /home/sixsquare/codeQL/projects/hnswlib/hnswlib/hnswalg.h","call function: 717:29-717:55","call in function: loadIndex@716-822","callee=std::basic_ifstream::basic_ifstream","basic block: 716:103-719:28"
"Path: /home/sixsquare/codeQL/projects/hnswlib/hnswlib/hnswalg.h","call function: 686:30-686:56","call in function: saveIndex@685-713","callee=std::basic_ofstream::basic_ofstream","basic block: 685:49-706:25"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/updates_test.cpp","call function: 204:23-204:32","call in function: main@176-278","callee=std::basic_ifstream::basic_ifstream","basic block: 196:5-206:33"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/updates_test.cpp","call function: 205:20-205:23","call in function: main@176-278","callee=std::basic_ifstream::open","basic block: 196:5-206:33"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/updates_test.cpp","call function: 92:19-92:22","call in function: load_batch@87-103","callee=std::basic_ifstream::basic_ifstream","basic block: 87:62-94:23"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/updates_test.cpp","call function: 93:10-93:13","call in function: load_batch@87-103","callee=std::basic_ifstream::open","basic block: 87:62-94:23"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/sift_1b.cpp","call function: 262:22-262:42","call in function: sift_test1B@242-365","callee=std::basic_ifstream::basic_ifstream","basic block: 242:20-264:18"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/sift_1b.cpp","call function: 277:21-277:40","call in function: sift_test1B@242-365","callee=std::basic_ifstream::basic_ifstream","basic block: 273:5-279:18"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/sift_1b.cpp","call function: 295:20-295:42","call in function: sift_test1B@242-365","callee=std::basic_ifstream::basic_ifstream","basic block: 291:5-300:19"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/sift_1b.cpp","call function: 237:16-237:28","call in function: exists_test@236-239","callee=std::basic_ifstream::basic_ifstream","basic block: 236:50-236:23"
"Path: /home/sixsquare/codeQL/projects/hnswlib/tests/cpp/sift_1b.cpp","call function: 130:15-130:19","call in function: getCurrentRSS@110-143","callee=fopen","basic block: 110:31-130:53"
