"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8389:15-8389:21","call in function: Init@8380-8407","callee=regcomp","basic block: 8380:34-8398:15"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8400:17-8400:23","call in function: Init@8380-8407","callee=regcomp","basic block: 8400:5-8400:74"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8376:10-8376:16","call in function: PartialMatch@8372-8377","callee=regexec","basic block: 8375:3-8376:60"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8367:10-8367:16","call in function: FullMatch@8363-8368","callee=regexec","basic block: 8366:3-8367:57"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8356:5-8356:11","call in function: ~RE@8350-8360","callee=regfree","basic block: 8351:18-8357:11"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/gtest/gtest-all.cc","call function: 8357:5-8357:11","call in function: ~RE@8350-8360","callee=regfree","basic block: 8351:18-8357:11"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/allocators.cpp","call function: 96:9-96:18","call in function: TestBody@89-103","callee=hs_compile","basic block: 89:47-97:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/allocators.cpp","call function: 81:9-81:18","call in function: TestBody@74-87","callee=hs_compile","basic block: 74:42-82:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2318:22-2318:37","call in function: TestBody@2312-2322","callee=hs_compile","basic block: 2312:59-2320:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2318:22-2318:37","call in function: TestBody@2312-2322","callee=hs_compile_multi","basic block: 2312:59-2320:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2306:22-2306:37","call in function: TestBody@2300-2310","callee=hs_compile","basic block: 2300:59-2308:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2306:22-2306:37","call in function: TestBody@2300-2310","callee=hs_compile_multi","basic block: 2300:59-2308:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2294:22-2294:37","call in function: TestBody@2288-2298","callee=hs_compile","basic block: 2288:57-2296:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2294:22-2294:37","call in function: TestBody@2288-2298","callee=hs_compile_multi","basic block: 2288:57-2296:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2282:22-2282:37","call in function: TestBody@2276-2286","callee=hs_compile","basic block: 2276:57-2284:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2282:22-2282:37","call in function: TestBody@2276-2286","callee=hs_compile_multi","basic block: 2276:57-2284:37"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2145:22-2145:31","call in function: TestBody@2142-2165","callee=hs_compile","basic block: 2142:48-2147:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2157:11-2157:24","call in function: TestBody@2142-2165","callee=hs_scan_vector","basic block: 2150:5-2159:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2157:11-2157:24","call in function: TestBody@2142-2165","callee=hs_scan","basic block: 2150:5-2159:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2109:22-2109:31","call in function: TestBody@2106-2139","callee=hs_compile","basic block: 2106:49-2111:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2073:22-2073:31","call in function: TestBody@2070-2103","callee=hs_compile","basic block: 2070:48-2075:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2087:11-2087:24","call in function: TestBody@2070-2103","callee=hs_scan","basic block: 2085:5-2088:30"
"Path: /home/sixsquare/codeQL/projects/hyperscan/unit/hyperscan/arg_checks.cpp","call function: 2051:22-2051:31","call in function: TestBody@2048-2067","callee=hs_compile","basic block: 2048:42-2053:30"
