"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 7561:5-7561:11","call in function: ShowExampleAppWindowTitles@7539-7566","callee=sprintf","basic block: 7551:5-7539:38"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 7143:17-7143:23","call in function: ShowExampleAppLayout@7119-7179","callee=sprintf","basic block: 7140:13-7144:37"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 5872:17-5872:23","call in function: ShowDemoWindowInputs@5768-5967","callee=sprintf","basic block: 5870:13-5874:40"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 5581:13-5581:19","call in function: ShowDemoWindowColumns@5562-5764","callee=sprintf","basic block: 5579:9-5582:33"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 5603:13-5603:19","call in function: ShowDemoWindowColumns@5562-5764","callee=sprintf","basic block: 5601:9-5604:33"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 3991:21-3991:27","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 3988:17-3992:48"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 4228:25-4228:31","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 4226:21-4229:37"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 4371:17-4371:23","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 4363:13-4380:17"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 4998:21-4998:27","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 4996:17-4995:57"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 5129:13-5129:19","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 5127:9-5131:20"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 5468:21-5468:27","call in function: ShowDemoWindowTables@3829-5558","callee=sprintf","basic block: 5456:17-5469:48"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 3567:13-3567:19","call in function: ShowDemoWindowPopups@3376-3674","callee=sprintf","basic block: 3563:9-3569:44"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 2645:21-2645:27","call in function: ShowDemoWindowLayout@2594-3374","callee=sprintf","basic block: 2643:17-2642:44"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 3170:17-3170:23","call in function: ShowDemoWindowLayout@2594-3374","callee=sprintf","basic block: 3168:17-3171:46"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1266:17-1266:23","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1264:13-1267:37"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1280:17-1280:23","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1278:13-1281:37"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1311:21-1311:27","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1309:17-1308:43"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1323:21-1323:27","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1321:17-1320:43"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1383:21-1383:27","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1380:17-1384:29"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1684:21-1684:28","call in function: ShowDemoWindowWidgets@604-2592","callee=snprintf","basic block: 1681:17-1685:43"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1745:13-1745:19","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1743:13-1763:51"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 1786:9-1786:15","call in function: ShowDemoWindowWidgets@604-2592","callee=sprintf","basic block: 1785:9-1788:22"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 7986:9-7986:15","call in function: DisplayContextMenu@7980-7992","callee=sprintf","basic block: 7985:9-7987:27"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/imgui_demo.cpp","call function: 6648:9-6648:17","call in function: AddLog@6642-6652","callee=vsnprintf","basic block: 6643:5-6642:18"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1668:13-1668:19","call in function: MyDndItem@1663-1675","callee=sprintf","basic block: 1663:28-1671:26"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1936:16-1936:23","call in function: MetricFormatter@1931-1944","callee=snprintf","basic block: 1935:21-1936:23"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1940:20-1940:27","call in function: MetricFormatter@1931-1944","callee=snprintf","basic block: 1939:34-1940:27"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1943:12-1943:19","call in function: MetricFormatter@1931-1944","callee=snprintf","basic block: 1943:5-1943:19"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1883:13-1883:19","call in function: Demo_OffsetAndStride@1859-1890","callee=sprintf","basic block: 1882:45-1882:42"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 1313:25-1313:31","call in function: Demo_SubplotItemSharing@1295-1334","callee=sprintf","basic block: 1310:37-1315:59"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 840:17-840:23","call in function: Demo_DigitalPlots@803-853","callee=sprintf","basic block: 839:67-841:35"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/implot/implot_demo.cpp","call function: 846:17-846:23","call in function: Demo_DigitalPlots@803-853","callee=sprintf","basic block: 845:32-847:49"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/init.c","call function: 319:9-319:17","call in function: _glfwInputError@309-379","callee=vsnprintf","basic block: 315:5-322:51"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/linux_joystick.c","call function: 350:13-350:20","call in function: _glfwInitJoysticksLinux@310-363","callee=snprintf","basic block: 348:13-352:34"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/linux_joystick.c","call function: 287:9-287:16","call in function: _glfwDetectJoystickConnectionLinux@267-303","callee=snprintf","basic block: 286:9-289:45"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/linux_joystick.c","call function: 176:9-176:15","call in function: openJoystickDevice@127-240","callee=sprintf","basic block: 175:5-176:15"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/linux_joystick.c","call function: 184:9-184:15","call in function: openJoystickDevice@127-240","callee=sprintf","basic block: 183:5-184:15"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/x11_init.c","call function: 980:9-980:16","call in function: initExtensions@605-988","callee=snprintf","basic block: 911:5-605:30"
"Path: /home/sixsquare/codeQL/projects/iridescence/build/glfw3-src/src/wl_monitor.c","call function: 59:9-59:16","call in function: outputHandleGeometry@40-60","callee=snprintf","basic block: 59:9-59:16"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/backends/imgui_impl_opengl3.cpp","call function: 695:9-695:15","call in function: CheckProgram@688-704","callee=fprintf","basic block: 695:9-695:15"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/backends/imgui_impl_opengl3.cpp","call function: 701:9-701:15","call in function: CheckProgram@688-704","callee=fprintf","basic block: 697:5-702:5"
"Path: /home/sixsquare/codeQL/projects/iridescence/thirdparty/imgui/backends/imgui_impl_opengl3.cpp","call function: 676:9-676:15","call in function: CheckShader@669-685","callee=fprintf","basic block: 676:9-676:15"
