"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/isotree/src/oop_interface.cpp","call function: 631:9-631:74","call in function: check_nthreads@621-640","callee=fprintf","basic block: 630:24-632:26"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3847:13-3847:105","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3846:9-3854:9"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3847:13-3847:105","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3846:9-3853:46"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3865:13-3865:109","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3864:9-3872:9"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3865:13-3865:109","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3864:9-3871:50"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3887:13-3887:107","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3886:9-3894:9"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3887:13-3887:107","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3886:9-3893:48"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3910:13-3910:107","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3909:9-3917:9"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 3910:13-3910:107","call in function: serialize_combined@3745-3956","callee=fprintf","basic block: 3909:9-3916:48"
"Path: /home/sixsquare/codeQL/projects/isotree/src/serialize.cpp","call function: 1850:9-1850:100","call in function: check_setup_info@1789-1905","callee=fprintf","basic block: 1850:9-1850:100"
"Path: /home/sixsquare/codeQL/projects/isotree/src/formatted_exporters.cpp","call function: 363:5-363:17","call in function: format_pct@358-365","callee=snprintf","basic block: 359:1-358:22"
"Path: /home/sixsquare/codeQL/projects/isotree/src/dist.hpp","call function: 300:13-300:112","call in function: calc_similarity_internal@266-506","callee=fprintf","basic block: 298:14-300:112"
"Path: /home/sixsquare/codeQL/projects/isotree/src/dist.hpp","call function: 237:9-237:110","call in function: calc_similarity@227-263","callee=fprintf","basic block: 235:48-237:110"
"Path: /home/sixsquare/codeQL/projects/isotree/src/utils.hpp","call function: 3705:9-3705:58","call in function: check_interrupt_switch@3700-3713","callee=fprintf","basic block: 3703:5-3710:71"
"Path: /home/sixsquare/codeQL/projects/isotree/src/utils.hpp","call function: 410:9-410:89","call in function: build_btree_sampler@391-415","callee=fprintf","basic block: 409:5-413:35"
"Path: /home/sixsquare/codeQL/projects/isotree/src/isotree.hpp","call function: 1954:22-1954:67","call in function: ~FileHandle@1950-1957","callee=fprintf","basic block: 1954:22-1954:67"
"Path: /home/sixsquare/codeQL/projects/isotree/build/CMakeFiles/CMakeScratch/TryCompile-c0rp9o/OpenMPCheckVersion.c","call function: 15:3-15:6","call in function: main@13-17","callee=puts","basic block: 14:1-13:8"
"Path: /home/sixsquare/codeQL/projects/isotree/build/CMakeFiles/CMakeScratch/TryCompile-BmBDBC/OpenMPCheckVersion.cpp","call function: 15:3-15:6","call in function: main@13-17","callee=puts","basic block: 14:1-13:8"
"Path: /home/sixsquare/codeQL/projects/isotree/src/impute.hpp","call function: 148:9-148:110","call in function: impute_missing_values@140-170","callee=fprintf","basic block: 146:48-148:110"
"Path: /home/sixsquare/codeQL/projects/isotree/src/fit_model.hpp","call function: 1403:9-1403:110","call in function: add_tree@1377-1461","callee=fprintf","basic block: 1401:48-1403:110"
"Path: /home/sixsquare/codeQL/projects/isotree/src/fit_model.hpp","call function: 601:9-601:110","call in function: fit_iforest@576-657","callee=fprintf","basic block: 599:48-601:110"
