"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/Environment.cpp","call function: 121:14-121:20","call in function: GetUnixFlavor@119-190","callee=fopen","basic block: 120:2-122:19"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/Environment.cpp","call function: 123:9-123:15","call in function: GetUnixFlavor@119-190","callee=fopen","basic block: 122:22-124:20"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileStream.cpp","call function: 498:21-498:26","call in function: Open@413-526","callee=open","basic block: 497:3-499:25"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 350:13-350:21","call in function: TryCloseAllFileDescriptors@348-376","callee=open","basic block: 349:3-351:19"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 328:14-328:19","call in function: RedirectFileDescriptorToNull@320-346","callee=open","basic block: 327:7-329:24"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 2739:27-2739:32","call in function: OpenAsMemoryMapped@2719-2837","callee=open","basic block: 2737:3-2740:14"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 2179:19-2179:24","call in function: Copy@2150-2300","callee=open","basic block: 2178:3-2179:83"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 2194:17-2194:22","call in function: Copy@2150-2300","callee=open","basic block: 2188:3-2194:111"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 749:8-749:16","call in function: FindPathCaseInsensitive@730-821","callee=open","basic block: 747:4-751:19"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 759:9-759:17","call in function: FindPathCaseInsensitive@730-821","callee=open","basic block: 758:47-760:38"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 762:9-762:17","call in function: FindPathCaseInsensitive@730-821","callee=open","basic block: 761:11-763:34"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 805:10-805:18","call in function: FindPathCaseInsensitive@730-821","callee=open","basic block: 805:6-806:35"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/Shared/IO/FileSystem.cpp","call function: 503:18-503:26","call in function: Open@423-522","callee=open","basic block: 479:37-504:29"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/nCine/Audio/AudioReaderMpt.cpp","call function: 112:4-112:34","call in function: setLooping@105-115","callee=open","basic block: 112:4-112:34"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/nCine/Audio/AudioReaderMpt.cpp","call function: 100:4-100:38","call in function: rewind@94-103","callee=open","basic block: 96:27-100:38"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/nCine/Audio/AudioReaderMpt.cpp","call function: 84:23-84:60","call in function: read@71-92","callee=open","basic block: 84:3-91:55"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/nCine/Audio/AudioReaderMpt.cpp","call function: 65:4-65:25","call in function: ~AudioReaderMpt@59-69","callee=open","basic block: 61:27-67:20"
"Path: /home/sixsquare/codeQL/projects/jazz2-native/Sources/nCine/Audio/AudioReaderMpt.cpp","call function: 55:13-55:34","call in function: AudioReaderMpt@35-57","callee=open","basic block: 51:3-57:2"
