"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 259:20-259:34","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 258:5-262:5"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 266:20-266:34","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 265:5-0:0"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 274:26-274:40","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 274:9-0:0"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 333:18-333:32","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 324:5-337:5"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 341:33-341:47","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 340:5-344:42"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 342:31-342:45","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 340:5-344:42"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 345:29-345:43","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 345:9-354:5"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-alt-string.cpp","call function: 366:28-366:42","call in function: DOCTEST_ANON_FUNC_2@203-370","callee=nlohmann::json::parse","basic block: 364:5-369:5"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 3794:33-3794:43","call in function: DOCTEST_ANON_FUNC_353@3738-3838","callee=nlohmann::json::parse","basic block: 3742:9-3799:62"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 3809:33-3809:43","call in function: DOCTEST_ANON_FUNC_353@3738-3838","callee=nlohmann::json::parse","basic block: 3802:17-3814:64"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 3824:33-3824:43","call in function: DOCTEST_ANON_FUNC_353@3738-3838","callee=nlohmann::json::parse","basic block: 3817:17-0:0"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1197:27-1197:37","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1196:17-1201:111"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1198:27-1198:37","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1196:17-1201:111"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1199:27-1199:37","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1196:17-1201:111"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1200:27-1200:37","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1196:17-1201:111"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1201:27-1201:37","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1196:17-1201:111"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1931:36-1931:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1930:17-1939:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1943:36-1943:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1942:17-1951:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1955:36-1955:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1954:17-1963:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1970:36-1970:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1969:17-1978:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1982:36-1982:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1981:17-1990:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 1994:36-1994:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 1993:17-2002:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 2182:36-2182:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 2181:17-2193:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 2197:36-2197:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 2196:17-2208:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-bjdata.cpp","call function: 2212:36-2212:46","call in function: DOCTEST_ANON_FUNC_28@210-3366","callee=nlohmann::json::parse","basic block: 2211:17-2223:17"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-binary_formats.cpp","call function: 22:24-22:34","call in function: DOCTEST_ANON_FUNC_7@17-211","callee=nlohmann::json::parse","basic block: 20:5-56:5"
"Path: /home/sixsquare/codeQL/projects/json/tests/src/unit-binary_formats.cpp","call function: 61:24-61:34","call in function: DOCTEST_ANON_FUNC_7@17-211","callee=nlohmann::json::parse","basic block: 59:5-95:5"
