"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/subbreak3.cpp","call function: 1302:17-1302:23","call in function: findBestCutoffFreq@1292-1342","callee=fprintf","basic block: 1301:68-1339:9"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/subbreak3.cpp","call function: 1312:21-1312:27","call in function: findBestCutoffFreq@1292-1342","callee=fprintf","basic block: 1311:140-1339:9"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/subbreak3.cpp","call function: 1319:17-1319:23","call in function: findBestCutoffFreq@1292-1342","callee=fprintf","basic block: 1318:154-1339:9"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/common.cpp","call function: 1160:9-1160:15","call in function: removeLowSimilarityKeys@1157-1220","callee=fprintf","basic block: 1159:32-1161:20"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/common.cpp","call function: 136:5-136:11","call in function: filter@109-137","callee=fprintf","basic block: 134:5-137:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/key-detector.cpp","call function: 86:9-86:15","call in function: main@17-116","callee=fprintf","basic block: 85:62-116:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/key-detector.cpp","call function: 105:9-105:15","call in function: main@17-116","callee=fprintf","basic block: 104:31-116:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap.cpp","call function: 325:13-325:19","call in function: operator()@316-332","callee=fprintf","basic block: 324:66-332:5"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap2-gui.cpp","call function: 1307:13-1307:19","call in function: operator()@1292-1316","callee=fprintf","basic block: 1306:66-1307:19"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap2-gui.cpp","call function: 1632:17-1632:23","call in function: operator()@1379-1666","callee=fprintf","basic block: 1631:84-1632:23"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap3-gui.cpp","call function: 1305:13-1305:19","call in function: operator()@1290-1314","callee=fprintf","basic block: 1304:66-1305:19"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap3-gui.cpp","call function: 1665:17-1665:23","call in function: operator()@1380-1699","callee=fprintf","basic block: 1664:84-1665:23"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap3-app.cpp","call function: 655:9-655:15","call in function: main@622-698","callee=fprintf","basic block: 654:46-698:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap3-app.cpp","call function: 396:33-396:39","call in function: operator()@324-614","callee=fprintf","basic block: 395:55-405:25"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/keytap3-app.cpp","call function: 130:13-130:19","call in function: init@74-135","callee=fprintf","basic block: 129:66-135:5"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/record-full.cpp","call function: 35:9-35:15","call in function: main@16-75","callee=fprintf","basic block: 34:31-75:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/record-full.cpp","call function: 61:9-61:15","call in function: main@16-75","callee=fprintf","basic block: 60:62-75:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/record.cpp","call function: 75:9-75:15","call in function: main@21-110","callee=fprintf","basic block: 74:62-110:1"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/record.cpp","call function: 95:17-95:23","call in function: operator()@84-99","callee=fprintf","basic block: 94:69-95:23"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/imgui.cpp","call function: 1586:90-1586:95","call in function: ImFileWrite@1586-1586","callee=fwrite","basic block: 1586:81-1586:19"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/imgui.cpp","call function: 1477:13-1477:21","call in function: ImFormatStringV@1472-1485","callee=vsnprintf","basic block: 1473:1-1479:19"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/imgui.cpp","call function: 1461:13-1461:21","call in function: ImFormatString@1454-1470","callee=vsnprintf","basic block: 1455:1-1464:19"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/examples/imgui_impl_opengl3.cpp","call function: 475:9-475:15","call in function: CheckProgram@469-484","callee=fprintf","basic block: 475:9-475:15"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/examples/imgui_impl_opengl3.cpp","call function: 481:9-481:15","call in function: CheckProgram@469-484","callee=fprintf","basic block: 477:5-482:5"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/examples/imgui_impl_opengl3.cpp","call function: 457:9-457:15","call in function: CheckShader@451-466","callee=fprintf","basic block: 457:9-457:15"
"Path: /home/sixsquare/codeQL/projects/kbd-audio/imgui/examples/imgui_impl_opengl3.cpp","call function: 463:9-463:15","call in function: CheckShader@451-466","callee=fprintf","basic block: 459:5-464:5"
