"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/subdivision.cpp","call function: 72:16-72:40","call in function: subdivide_uuid_range@71-84","callee=read","basic block: 71:102-77:29"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/subdivision.cpp","call function: 73:16-73:40","call in function: subdivide_uuid_range@71-84","callee=read","basic block: 71:102-77:29"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/subdivision.cpp","call function: 34:21-34:50","call in function: subdivide_integer_range@33-38","callee=read","basic block: 33:105-36:35"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/subdivision.cpp","call function: 35:21-35:50","call in function: subdivide_integer_range@33-38","callee=read","basic block: 33:105-36:35"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/command.h","call function: 49:2-49:19","call in function: read_expected_command@45-50","callee=read","basic block: 49:2-50:1"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/command.h","call function: 31:2-31:12","call in function: read_array@28-32","callee=read","basic block: 31:2-32:1"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/command.h","call function: 36:2-36:11","call in function: read_all_arguments@35-41","callee=read","basic block: 35:82-37:26"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/command.h","call function: 24:2-24:12","call in function: read_values@22-25","callee=read","basic block: 22:84-22:13"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 274:3-274:20","call in function: handle_target_block_size_command@272-276","callee=read","basic block: 272:42-272:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 274:3-274:20","call in function: handle_target_block_size_command@272-276","callee=read","basic block: 272:42-272:38"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 262:3-262:20","call in function: handle_hash_algorithm_command@260-269","callee=read","basic block: 260:39-264:42"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 256:3-256:20","call in function: handle_idle_command@254-258","callee=read","basic block: 254:29-254:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 256:3-256:20","call in function: handle_idle_command@254-258","callee=read","basic block: 254:29-254:25"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 233:3-233:20","call in function: handle_rows_command@230-239","callee=read","basic block: 230:29-230:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 233:3-233:20","call in function: handle_rows_command@230-239","callee=read","basic block: 230:29-230:25"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 221:3-221:20","call in function: handle_hash_command@217-228","callee=read","basic block: 217:29-217:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 221:3-221:20","call in function: handle_hash_command@217-228","callee=read","basic block: 217:29-217:25"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 210:3-210:20","call in function: handle_range_command@208-215","callee=read","basic block: 208:30-208:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 210:3-210:20","call in function: handle_range_command@208-215","callee=read","basic block: 208:30-208:26"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 204:3-204:20","call in function: handle_schema_command@203-206","callee=read","basic block: 203:31-203:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 204:3-204:20","call in function: handle_schema_command@203-206","callee=read","basic block: 203:31-203:27"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 173:3-173:20","call in function: handle_without_snapshot_command@172-177","callee=read","basic block: 172:41-172:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 173:3-173:20","call in function: handle_without_snapshot_command@172-177","callee=read","basic block: 172:41-172:37"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 167:3-167:20","call in function: handle_unhold_snapshot_command@166-170","callee=read","basic block: 166:40-166:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 167:3-167:20","call in function: handle_unhold_snapshot_command@166-170","callee=read","basic block: 166:40-166:36"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 160:3-160:20","call in function: handle_import_snapshot_command@158-164","callee=read","basic block: 158:40-158:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 160:3-160:20","call in function: handle_import_snapshot_command@158-164","callee=read","basic block: 158:40-158:36"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 153:3-153:20","call in function: handle_export_snapshot_command@152-156","callee=read","basic block: 152:40-152:7"
"Path: /home/sixsquare/codeQL/projects/kitchen_sync/src/sync_from.h","call function: 153:3-153:20","call in function: handle_export_snapshot_command@152-156","callee=read","basic block: 152:40-152:36"
